Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Outward issue link (Blocked),Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Completes),Inward issue link (Completes),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Testing),Outward issue link (Testing),Outward issue link (Testing),Outward issue link (Testing),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"""org.apache.beam.sdk.options.PipelineOptionsRegistrar: Provider org.apache.beam.sdk.options.DefaultPipelineOptionsRegistrar not a subtype"" is thrown when executing Python UDFs in SQL Client ",FLINK-31503,13528980,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,dianfu,dianfu,dianfu,17/Mar/23 14:10,19/Mar/23 06:49,04/Jun/24 20:41,19/Mar/23 06:49,1.15.0,,,,,,,,,,,1.16.2,1.17.1,1.18.0,,API / Python,,,,0,pull-request-available,,,,"The following exception will be thrown when executing SQL statements containing Python UDFs in SQL Client:
{code}
Caused by: java.util.ServiceConfigurationError: org.apache.beam.sdk.options.PipelineOptionsRegistrar: Provider org.apache.beam.sdk.options.DefaultPipelineOptionsRegistrar not a subtype
        at java.util.ServiceLoader.fail(ServiceLoader.java:239)
        at java.util.ServiceLoader.access$300(ServiceLoader.java:185)
        at java.util.ServiceLoader$LazyIterator.nextService(ServiceLoader.java:376)
        at java.util.ServiceLoader$LazyIterator.next(ServiceLoader.java:404)
        at java.util.ServiceLoader$1.next(ServiceLoader.java:480)
        at org.apache.beam.vendor.guava.v26_0_jre.com.google.common.collect.ImmutableCollection$Builder.addAll(ImmutableCollection.java:415)
        at org.apache.beam.vendor.guava.v26_0_jre.com.google.common.collect.ImmutableSet$Builder.addAll(ImmutableSet.java:507)
        at org.apache.beam.vendor.guava.v26_0_jre.com.google.common.collect.ImmutableSortedSet$Builder.addAll(ImmutableSortedSet.java:528)
        at org.apache.beam.sdk.util.common.ReflectHelpers.loadServicesOrdered(ReflectHelpers.java:199)
        at org.apache.beam.sdk.options.PipelineOptionsFactory$Cache.initializeRegistry(PipelineOptionsFactory.java:2089)
        at org.apache.beam.sdk.options.PipelineOptionsFactory$Cache.<init>(PipelineOptionsFactory.java:2083)
        at org.apache.beam.sdk.options.PipelineOptionsFactory$Cache.<init>(PipelineOptionsFactory.java:2047)
        at org.apache.beam.sdk.options.PipelineOptionsFactory.resetCache(PipelineOptionsFactory.java:581)
        at org.apache.beam.sdk.options.PipelineOptionsFactory.<clinit>(PipelineOptionsFactory.java:547)
        at org.apache.flink.streaming.api.runners.python.beam.BeamPythonFunctionRunner.open(BeamPythonFunctionRunner.java:241)
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sun Mar 19 06:49:00 UTC 2023,,,,,,,,,,"0|z1gnwg:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"17/Mar/23 15:37;dianfu;If your Flink version doesn't contain this fix, you could simply work around this issue by adding the following configuration:

SET 'classloader.parent-first-patterns.additional' = 'org.apache.beam.';;;;","19/Mar/23 06:49;dianfu;Fixed in:
- master via de258f3ce01e720d23bec67c20892133f89293d3
- release-1.17 via 3163b8f9caa53e9487ce062eba2c3d399dfe08a2
- release-1.16 via d438b3bdc48a0456088594700d438725d0fb1480;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Limit the number of concurrent scale operations to reduce cluster churn,FLINK-31502,13528955,,Improvement,Reopened,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,mxm,mxm,mxm,17/Mar/23 12:14,14/Mar/24 14:33,04/Jun/24 20:41,,,,,,,,,,,,,kubernetes-operator-1.9.0,,,,Autoscaler,Kubernetes Operator,,,0,pull-request-available,,,,"Until we move to using the upcoming Rescale API which recycles pods, we need to be mindful with how many deployments we scale at the same time because each of them is going to give up all its pods and require the new number of required pods. 

This can cause churn in the cluster and temporary lead to ""unallocatable"" pods which triggers the k8s cluster autoscaler to add more cluster nodes. That is often not desirable because the actual required resources after the scaling have been settled, are lower.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Dec 07 14:29:44 UTC 2023,,,,,,,,,,"0|z1gnqw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"20/Apr/23 11:55;mxm;This turned out to not be the main error source.;;;","07/Dec/23 14:29;mxm;Reopening because this is an actual issue.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move SqlCreateView conversion logic to SqlCreateViewConverter,FLINK-31501,13528952,13528594,Sub-task,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,jark,jark,jark,17/Mar/23 11:45,12/Aug/23 10:35,04/Jun/24 20:41,,,,,,,,,,,,,,,,,Table SQL / Planner,,,,0,pull-request-available,stale-assigned,,,"Introduce {{SqlCreateViewConverter}} and move the conversion logic of SqlCreateView -> CreateViewOperation to it.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sat Aug 12 10:35:07 UTC 2023,,,,,,,,,,"0|z1gnq8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"12/Aug/23 10:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move SqlAlterTableSchema conversion logic to AlterTableSchemaConverter,FLINK-31500,13528951,13528594,Sub-task,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,taoran,jark,jark,17/Mar/23 11:44,12/Aug/23 10:35,04/Jun/24 20:41,,,,,,,,,,,,,,,,,Table SQL / Planner,,,,0,pull-request-available,stale-assigned,,,Introduce {{AlterTableSchemaConverter}} and move the conversion logic of SqlAlterTableSchema -> AlterTableChangeOperation to it. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sat Aug 12 10:35:07 UTC 2023,,,,,,,,,,"0|z1gnq0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"20/Mar/23 04:09;taoran;[~jark] hi, jark. i'm glad to fix this. it will help to learn this new conversion way. Can u assign this ticket to me? i will try to support it.;;;","12/Aug/23 10:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move SqlCreateTable conversion logic to SqlCreateTableConverter,FLINK-31499,13528950,13528594,Sub-task,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,xzw0223,jark,jark,17/Mar/23 11:43,12/Aug/23 10:35,04/Jun/24 20:41,,,,,,,,,,,,,,,,,Table SQL / Planner,,,,0,pull-request-available,stale-assigned,,,Introduce {{SqlCreateTableConverter}} and move the conversion logic of SqlCreateTable -> CreateTableOperation to it. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Sat Aug 12 10:35:07 UTC 2023,,,,,,,,,,"0|z1gnps:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"17/Mar/23 13:02;xzw0223;[~jark] Can you assign it to me.;;;","12/Aug/23 10:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeclartiveSlotManager always request redundant task manager when resource is not enough,FLINK-31498,13528940,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Done,huwh,huwh,huwh,17/Mar/23 10:09,22/May/23 05:56,04/Jun/24 20:41,22/May/23 05:56,,,,,,,,,,,,1.18.0,,,,Runtime / Coordination,,,,0,pull-request-available,,,,"Currently redundant task manager check in DeclarativeSlotManager only compare free slots with required redundant slots. 

when there are no enough resources in YARN/Kubernetes, this mechanism will always try to request new task manager. 

there are two way to address this.
1. maintain the state of redundant workers to avoid request twice
2. only try to request redundant workers when there is no pending worker

The first way will make the logic of redundant worker too complicated, I would like to choose the second way

Looking forward to any suggestion.

 !image-2023-03-17-18-05-43-088.png! ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17/Mar/23 10:05;huwh;image-2023-03-17-18-05-43-088.png;https://issues.apache.org/jira/secure/attachment/13056450/image-2023-03-17-18-05-43-088.png",,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon May 22 05:56:21 UTC 2023,,,,,,,,,,"0|z1gnnk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"23/Mar/23 03:24;Weijie Guo;Thanks [~huwh] for reporting this, you are assigned.;;;","11/May/23 07:57;huwh;[~xtsong] Do you think we need to fix the problem?

Given that DeclarativeSlotManager will be removed in a subsequent release, it's fine for me not to fix it;;;","22/May/23 05:56;Weijie Guo;master(1.18) via abe0fbf433f66bb94f5b42ab46a00348ea951ade.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drop the deprecated CatalogViewImpl ,FLINK-31497,13528919,13359276,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,aitozi,aitozi,17/Mar/23 08:14,28/Mar/24 23:11,04/Jun/24 20:41,,,,,,,,,,,,,,,,,Table SQL / Planner,,,,0,pull-request-available,,,,"After https://issues.apache.org/jira/browse/FLINK-29585

CatalogViewImpl not used in Flink project now, we may can drop it now cc [~snuyanzin]

But, we may have to check whether it is used in other connector's system",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Mar 24 07:34:32 UTC 2023,,,,,,,,,,"0|z1gniw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"24/Mar/23 07:34;Sergey Nuyanzin;I think same could be done for {{CatalogTableImpl}} once this issue is solved https://issues.apache.org/jira/browse/FLINK-31604;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIP-293: Introduce Flink Jdbc Driver For Sql Gateway,FLINK-31496,13528918,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Implemented,zjureel,zjureel,zjureel,17/Mar/23 08:10,20/Jun/23 13:36,04/Jun/24 20:41,20/Jun/23 08:23,1.18.0,,,,,,,,,,,1.18.0,,,,Table SQL / Gateway,Table SQL / JDBC,,,0,,,,,Issue for https://cwiki.apache.org/confluence/display/FLINK/FLIP-293%3A+Introduce+Flink+Jdbc+Driver+For+Sql+Gateway,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-32396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 20 08:23:59 UTC 2023,,,,,,,,,,"0|z1gnio:",9223372036854775807,"Apache Flink now supports JDBC driver to access to sql-gateway, you can use the driver in any cases that support standard JDBC extension to connect to Flink cluster.",,,,,,,,,,,,,,,,,,,"20/Jun/23 08:23;libenchao;All the subtasks have been finished, I'm closing this issue as implemented now. [~zjureel] Thanks for your great work!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve metrics tab on flink ui,FLINK-31495,13528911,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Duplicate,,haoyan.zhang,haoyan.zhang,17/Mar/23 07:19,04/May/23 05:27,04/Jun/24 20:41,04/May/23 02:12,,,,,,,,,,,,,,,,Runtime / Web Frontend,,,,0,,,,,"When metric is too long, the select component can not display the whole metric name

!image-2023-03-17-15-13-06-815.png|width=289,height=154!

We should use a modal or make the options horizontal scrollable",,,,,,,,,,,,,,,,,,,,,FLINK-20473,,,,,,,,,,,,,,,"17/Mar/23 07:13;haoyan.zhang;image-2023-03-17-15-13-06-815.png;https://issues.apache.org/jira/secure/attachment/13056438/image-2023-03-17-15-13-06-815.png","14/Apr/23 11:17;haoyan.zhang;image-2023-04-14-19-17-07-773.png;https://issues.apache.org/jira/secure/attachment/13057280/image-2023-04-14-19-17-07-773.png",,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu May 04 05:27:14 UTC 2023,,,,,,,,,,"0|z1gnh4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"17/Mar/23 07:22;haoyan.zhang;requesting for discussion and assign to me;;;","21/Mar/23 02:14;zlzhang0122;IMHO this is not a problem, if you mouseover the selection, you'll see the whole metric name;;;","21/Mar/23 05:25;haoyan.zhang;I see,  but it is still very hard to look through all the metrics, user need mouseover the options one by one to find the one they want;;;","30/Mar/23 08:43;Weijie Guo;Thanks [~haoyan.zhang] for reporting this, could you post a picture of the modified version for reference?;;;","13/Apr/23 08:36;Weijie Guo;Temporarily close this ticket because there is no feedback for a long time, feel free to reopen it.;;;","14/Apr/23 11:23;haoyan.zhang;sorry for my late reply

since there is no pop-ups in flink ui, so I think best solution is just widen the options, but it still need a max width to make sure it will not exceed the border of tab, which means there is still possibility that the option can not be completely displayed here

!image-2023-04-14-19-17-07-773.png!;;;","28/Apr/23 19:25;netvl;This is a big usability issue, and apparently there are multiple tickets about exactly the same thing:
https://issues.apache.org/jira/browse/FLINK-16570
https://issues.apache.org/jira/browse/FLINK-20257
https://issues.apache.org/jira/browse/FLINK-20473
All of them, unfortunately, are ""deprioritized"" :(;;;","04/May/23 02:12;haoyan.zhang;so sad,  closed since it is duplicated;;;","04/May/23 05:20;Weijie Guo;Thanks [~haoyan.zhang] and [~netvl] for the reply. I'm a bit curious if we can add a horizontal scrollbar to enhance the user experience? Alternatively, other approach such as FLINK-20473.

I'm very sorry that these tickets have been downgraded due to not being responded in a timely manner. However, this is indeed a valuable issue, let's start tracking it in FLINK-20473, as a pull request has already been created there. Welcome everyone to help review or propose better solutions there.;;;","04/May/23 05:27;Weijie Guo;> IMHO this is not a problem, if you mouseover the selection, you'll see the whole metric name

[~zlzhang0122] Is this exactly what you want to solve in FLINK-20473? Or is it that this issue has already been fixed?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduce SqlNodeConverter for SqlToOperationConverter,FLINK-31494,13528910,13528594,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,jark,xzw0223,xzw0223,17/Mar/23 07:17,17/Mar/23 15:42,04/Jun/24 20:41,17/Mar/23 15:42,,,,,,,,,,,,1.18.0,,,,Table SQL / Planner,,,,0,pull-request-available,,,,"Introduce {{SqlNodeConverter}} for {{SqlToOperationConverter}}, following Timo's idea in FLINK-31368
class like:

{code:java}
public interface SqlNodeConverter<S extends SqlNode> {

    Operation convertSqlNode(S node, ConvertContext context);

}


/** Registry of SqlNode converters. */
public class SqlNodeConverters {

    private static final Map<Class<?>, SqlNodeConverter<?>> CONVERTERS = new HashMap<>();

    static {
        // register all the converters here
        register(new SqlCreateCatalogConverter());
    }
}
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Mar 17 15:42:10 UTC 2023,,,,,,,,,,"0|z1gngw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"17/Mar/23 07:26;xzw0223;[~jark]  [~luoyuxia]  Is this the expected effect? I don’t know if there is any problem with my understanding. Please point it out.;;;","17/Mar/23 07:42;jark;Hi [~xzw0223], I can help to build a basic framework for the pluggable node converters. You can migrate all the existing SqlNode conversions when the basic framework is finished. ;;;","17/Mar/23 08:00;xzw0223;Ok, thank you [~jark] .;;;","17/Mar/23 10:13;xzw0223;Hi [~jark] , Will SqlNodeConverters register all SQLnodes? My initial idea is the same, but I feel that although this reduces the amount of SqlToOperationConverter code, it will swell in SqlNodeConverters.;;;","17/Mar/23 12:14;jark;[~xzw0223], the key idea is not putting all the conversion logic in a single class, otherwise it's huge and hard to maintain. ;;;","17/Mar/23 15:42;jark;Fixed in master: ba03d4db7ca01c7a2436253b9f9429a2a3fb3219 and fa0dd3559e9697e21795a2634d8d99a0b7efdcf3;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"helm upgrade does not work, because repo path does not follow helm standards",FLINK-31493,13528869,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,eleroy,eleroy,16/Mar/23 21:21,31/Aug/23 13:59,04/Jun/24 20:41,,,,,,,,,,,,,,,,,Kubernetes Operator,,,,1,helm,,,,"the helm repo for flink-operator is a folder that includes the version, which is not following the helm chart repo standards.

In a standard helm repo, the repo URL is the name of the product (without version) and then the folder includes the different versions of the chart.

This is an issue because the repo itself needs to be installed every time the version is upgraded, as opposed to adding the repo once and then upgrading the version.

When attempting to add the latest repo, helm will complain that the repo already exists. It is necessary to first remove the repo, and then add the updated one.

When trying to upgrade the chart, it doesn't work, because helm expects the chart of the previous version to be in the same repo, but it cannot be found in the newly added repo.

So the chart needs to be uninstalled, then the new one installed.

The solution is to use a common path for all versions of the chart, and maintain a manifest with the various versions (instead of different folders with different manifests)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Aug 18 22:35:09 UTC 2023,,,,,,,,,,"0|z1gn7s:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"10/Aug/23 22:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issues has been marked as Major but is unassigned and neither itself nor its Sub-Tasks have been updated for 60 days. I have gone ahead and added a ""stale-major"" to the issue"". If this ticket is a Major, please either assign yourself or give an update. Afterwards, please remove the label or in 7 days the issue will be deprioritized.
;;;","18/Aug/23 22:35;flink-jira-bot;This issue was labeled ""stale-major"" 7 days ago and has not received any updates so it is being deprioritized. If this ticket is actually Major, please raise the priority and ask a committer to assign you the issue or revive the public discussion.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
