Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
SortCodeGeneratorTest.testMultiKeys fails on negative zero,FLINK-35276,13577751,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,,,rskraba,rskraba,30/Apr/24 13:49,30/Apr/24 13:50,04/Jun/24 20:40,,1.19.1,1.20.0,,,,,,,,,,Table SQL / Planner,,,,0,test-stability,,"1.19 AdaptiveScheduler / Test (module: table) [https://github.com/apache/flink/actions/runs/8864296211/job/24339523745#step:10:10757]

SortCodeGeneratorTest can fail if one of the generated random row values is -0.0f.
{code:java}
Apr 28 02:38:03 expect: +I(,SqlRawValue{?},0.0,false); actual: +I(,SqlRawValue{?},-0.0,false)
Apr 28 02:38:03 expect: +I(,SqlRawValue{?},-0.0,false); actual: +I(,SqlRawValue{?},0.0,false)
...
<snip>
...
Apr 28 02:38:04 expect: +I(,null,4.9695407E17,false); actual: +I(,null,4.9695407E17,false)
Apr 28 02:38:04 expect: +I(,null,-3.84924672E18,false); actual: +I(,null,-3.84924672E18,false)
Apr 28 02:38:04 types: [[RAW('java.lang.Integer', ?), FLOAT, BOOLEAN]]
Apr 28 02:38:04 keys: [0, 1]] 
Apr 28 02:38:04 expected: 0.0f
Apr 28 02:38:04  but was: -0.0f
Apr 28 02:38:04 	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
Apr 28 02:38:04 	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62)
Apr 28 02:38:04 	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
Apr 28 02:38:04 	at org.apache.flink.table.planner.codegen.SortCodeGeneratorTest.testInner(SortCodeGeneratorTest.java:632)
Apr 28 02:38:04 	at org.apache.flink.table.planner.codegen.SortCodeGeneratorTest.testMultiKeys(SortCodeGeneratorTest.java:143)
Apr 28 02:38:04 	at java.lang.reflect.Method.invoke(Method.java:498)
{code}

In the test code, this is extremely unlikely to occur (one in 2²⁴?) but *has* happened at this line (when the {{rnd.nextFloat()}} is {{0.0f}} and {{rnd.nextLong()}} is negative:

[https://github.com/apache/flink/blob/e7ce0a2969633168b9395c683921aa49362ad7a4/flink-table/flink-table-planner/src/test/java/org/apache/flink/table/planner/codegen/SortCodeGeneratorTest.java#L255]

We can reproduce the failure by changing how likely {{0.0f}} is to be generated at that line.",,,,,,,,,,,,,,,,,,,,,,,,,,"30/Apr/24 13:50;rskraba;job-logs.txt;https://issues.apache.org/jira/secure/attachment/13068569/job-logs.txt",,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-30 13:49:37.0,,,,,,,,,,"0|z1oynk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArrayContainsFunction uses wrong DataType to create element getter,FLINK-35275,13577747,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,banmoy,banmoy,30/Apr/24 13:39,30/Apr/24 13:57,04/Jun/24 20:40,,1.16.0,,,,,,,,,,,Table SQL / Runtime,,,,0,,," 

In ArrayContainsFunction, elementGetter is used to get elements of an array, but it's created from the needle data type rather than the element data type which will lead to wrong results.
{code:java}
public ArrayContainsFunction(SpecializedContext context) {
    super(BuiltInFunctionDefinitions.ARRAY_CONTAINS, context);
    final DataType needleDataType = context.getCallContext().getArgumentDataTypes().get(1);
    elementGetter = ArrayData.createElementGetter(needleDataType.getLogicalType());
    
} {code}
For example, the following sql returns true, but the expected is false. The element type is nullable int, and the needle type is non-nullable int. Using the needle type to create element getter will convert the NULL element to 0, so the result returns true.
{code:java}
SELECT ARRAY_CONTAINS(ARRAY[1, NULL], 0){code}
 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Apr 30 13:57:01 UTC 2024,,,,,,,,,,"0|z1oymo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"30/Apr/24 13:57;banmoy;[~twalthr] Could you help confirm if this is a bug? If so, I'd like to fix it.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occasional failure issue with Flink CDC Db2 UT,FLINK-35274,13577711,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,Fixed,pacinogong,pacinogong,pacinogong,30/Apr/24 10:34,13/May/24 09:31,04/Jun/24 20:40,06/May/24 05:58,,,,,,,,,cdc-3.2.0,,,Flink CDC,,,,0,pull-request-available,,"Occasional failure issue with Flink CDC Db2 UT. Because db2 redolog data tableId don't have database name, it will cause table schame occasional not found when task exception restart. I will fix it by supplement database name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon May 06 05:58:46 UTC 2024,,,,,,,,,,"0|z1oyeo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"06/May/24 05:58;jiabaosun;Fixed via cdc
* master: a7cb46f7621568486a069a7ae01a7b86ebb0a801
* release-3.1: d556f29475a52234a98bcc65db959483a10beb52;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyFlink's LocalZonedTimestampType should respect timezone set by set_local_timezone,FLINK-35273,13577706,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,bgeng777,bgeng777,30/Apr/24 10:01,30/Apr/24 10:25,04/Jun/24 20:40,,,,,,,,,,,,,API / Python,,,,1,,,"The issue is from https://apache-flink.slack.com/archives/C065944F9M2/p1714134880878399
When using TIMESTAMP_LTZ in PyFlink while setting a different time zone, it turns out that the output result does not show the expected result.
Here is my test codes:
{code:python}
from pyflink.datastream import StreamExecutionEnvironment
from pyflink.common import Types, Configuration
from pyflink.table import DataTypes, StreamTableEnvironment
from datetime import datetime
import pytz


config = Configuration()
config.set_string(""python.client.executable"", ""/usr/local/Caskroom/miniconda/base/envs/myenv/bin/python"")
config.set_string(""python.executable"", ""/usr/local/Caskroom/miniconda/base/envs/myenv/bin/python"")
env = StreamExecutionEnvironment.get_execution_environment(config)
t_env = StreamTableEnvironment.create(env)
t_env.get_config().set_local_timezone(""UTC"")
# t_env.get_config().set_local_timezone(""GMT-08:00"")

input_table = t_env.from_elements(
    [
        (
            ""elementA"",
            datetime(year=2024, month=4, day=12, hour=8, minute=35),
        ),
        (
            ""elementB"",
            datetime(year=2024, month=4, day=12, hour=8, minute=35, tzinfo=pytz.utc),
            # datetime(year=2024, month=4, day=12, hour=8, minute=35, tzinfo=pytz.timezone('America/New_York')),
        ),
    ],
    DataTypes.ROW(
        [
            DataTypes.FIELD(""name"", DataTypes.STRING()),
            DataTypes.FIELD(""timestamp"", DataTypes.TIMESTAMP_LTZ(3)),
        ]
    ),
)
input_table.execute().print()

# SQL
sql_result = t_env.execute_sql(""CREATE VIEW MyView1 AS SELECT TO_TIMESTAMP_LTZ(1712910900000, 3);"")
t_env.execute_sql(""CREATE TABLE Sink (`t` TIMESTAMP_LTZ) WITH ('connector'='print');"")
t_env.execute_sql(""INSERT INTO Sink SELECT * FROM MyView1;"")
{code}
The output is: 
{code:java}
+----+--------------------------------+-------------------------+
| op |                           name |               timestamp |
+----+--------------------------------+-------------------------+
| +I |                       elementA | 2024-04-12 08:35:00.000 |
| +I |                       elementB | 2024-04-12 16:35:00.000 |
+----+--------------------------------+-------------------------+
2 rows in set
+I[2024-04-12T08:35:00Z]
{code}

In pyflink/tables/types.py, the `LocalZonedTimestampType` class will use follow logic to convert python obj to sql type:

{code:python}
EPOCH_ORDINAL = calendar.timegm(time.localtime(0)) * 10 ** 6
...
def to_sql_type(self, dt):
        if dt is not None:
            seconds = (calendar.timegm(dt.utctimetuple()) if dt.tzinfo
                       else time.mktime(dt.timetuple()))
            return int(seconds) * 10 ** 6 + dt.microsecond + self.EPOCH_ORDINAL
{code}
It shows that the EPOCH_ORDINAL is calculated when the PVM starts but is not decided by the timezone set by `set_local_timezone`.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-30 10:01:18.0,,,,,,,,,,"0|z1oydk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline Transform job supports omitting / renaming calculation column,FLINK-35272,13577652,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,xiqian_yu,xiqian_yu,xiqian_yu,30/Apr/24 01:42,24/May/24 09:17,04/Jun/24 20:40,,,,,,,,,,,,,Flink CDC,,,,0,pull-request-available,,"Currently, pipeline transform rules require all columns used by expression calculation must be present in final projected schema, and shall not be renamed or omitted.

 

The reason behind this is any column not directly present in projection rules will be filtered out in the PreProjection step, and then the PostProjection process could not find those non-present but indirectly depended columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri May 24 08:56:05 UTC 2024,,,,,,,,,,"0|z1oy1k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"30/Apr/24 01:43;xiqian_yu;[~renqs] I'm willing to implement this.;;;","24/May/24 08:56;leonard;Thanks [~xiqian_yu] for taking this ticket, assigned it to you!;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Add doc for syntax `describe job 'xxx'`,FLINK-35271,13577650,13576688,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,xuyangzhong,xuyangzhong,30/Apr/24 01:24,30/Apr/24 01:25,04/Jun/24 20:40,,1.20.0,,,,,,,,1.20.0,,,Table SQL / API,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-35194,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-30 01:24:34.0,,,,,,,,,,"0|z1oy14:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enrich information in logs, making it easier for debugging",FLINK-35270,13577605,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,hctommy,hctommy,hctommy,29/Apr/24 17:23,09/May/24 03:21,04/Jun/24 20:40,09/May/24 03:21,,,,,,,,,1.20.0,,,API / Core,,,,0,pull-request-available,starter,"Good logs helps debug a lot in production environment

Therefore, it'll be better to show more information in logs  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu May 09 03:21:55 UTC 2024,,,,,,,,,,"0|z1oxr4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"09/May/24 03:21;zhuzh;547e4b53ebe36c39066adcf3a98123a1f7890c15;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix logging level for errors in AWS connector sinks,FLINK-35269,13577595,,Technical Debt,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,a.pilipenko,a.pilipenko,a.pilipenko,29/Apr/24 15:54,17/May/24 09:28,04/Jun/24 20:40,17/May/24 09:28,aws-connector-4.2.0,,,,,,,,aws-connector-4.3.0,,,Connectors / AWS,Connectors / Firehose,Connectors / Kinesis,,0,pull-request-available,,"Currently Kinesis and Firehose sinks log information about failed records at DEBUG level.

This makes failures invisible in the logs, limiting ability to investigate source of the issues.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri May 17 09:27:30 UTC 2024,,,,,,,,,,"0|z1oxow:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"17/May/24 09:27;hong; merged commit [{{c688a85}}|https://github.com/apache/flink-connector-aws/commit/c688a8545ac1001c8450e8c9c5fe8bbafa13aeba] into   apache:main;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support TTL for Async State API,FLINK-35268,13577563,13574084,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,masteryhx,masteryhx,29/Apr/24 10:20,29/Apr/24 10:20,04/Jun/24 20:40,,,,,,,,,,,,,Runtime / State Backends,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-29 10:20:13.0,,,,,,,,,,"0|z1oxhs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create documentation for FlinkStateSnapshot CR,FLINK-35267,13577556,13577544,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,mateczagany,mateczagany,29/Apr/24 09:05,29/Apr/24 09:05,04/Jun/24 20:40,,,,,,,,,,kubernetes-operator-1.9.0,,,Kubernetes Operator,,,,0,,,This should cover the new features and migration from the now deprecated methods of taking snapshots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-29 09:05:49.0,,,,,,,,,,"0|z1oxg8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add e2e tests for FlinkStateSnapshot CRs,FLINK-35266,13577554,13577544,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,mateczagany,mateczagany,29/Apr/24 09:04,29/Apr/24 09:04,04/Jun/24 20:40,,,,,,,,,,kubernetes-operator-1.9.0,,,Kubernetes Operator,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-29 09:04:06.0,,,,,,,,,,"0|z1oxfs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement FlinkStateSnapshot custom resource,FLINK-35265,13577553,13577544,Sub-task,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,mateczagany,mateczagany,29/Apr/24 09:03,29/Apr/24 11:53,04/Jun/24 20:40,,,,,,,,,,kubernetes-operator-1.9.0,,,Kubernetes Operator,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-29 09:03:31.0,,,,,,,,,,"0|z1oxfk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flink CDC Pipeline transform rules do not take effect,FLINK-35264,13577551,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,xiqian_yu,xiqian_yu,xiqian_yu,29/Apr/24 08:52,29/Apr/24 12:24,04/Jun/24 20:40,29/Apr/24 12:24,,,,,,,,,cdc-3.1.0,,,Flink CDC,,,,0,pull-request-available,,"When multiple transform rules are provided, the previous ones do not take effect since transform rules are overwritten in for-loop.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Apr 29 12:24:36 UTC 2024,,,,,,,,,,"0|z1oxf4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/Apr/24 12:24;renqs;flink-cdc master: f61f0f44bd56196296193edf9e9fa693e22e6a3c

release-3.1: 71dfad24dffb25f676d732cf9436fb32b88b670b;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLIP-446: Kubernetes Operator State Snapshot CRD,FLINK-35263,13577544,,New Feature,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,mateczagany,mateczagany,29/Apr/24 08:15,29/Apr/24 08:15,04/Jun/24 20:40,,,,,,,,,,kubernetes-operator-1.9.0,,,Kubernetes Operator,,,,0,,,"Described in [https://cwiki.apache.org/confluence/display/FLINK/FLIP-446%3A+Kubernetes+Operator+State+Snapshot+CRD]

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-29 08:15:49.0,,,,,,,,,,"0|z1oxdk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridge between AsyncKeyedStateBackend and AsyncExecutionController,FLINK-35262,13577541,13574083,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,masteryhx,masteryhx,masteryhx,29/Apr/24 08:02,08/May/24 07:11,04/Jun/24 20:40,08/May/24 07:11,,,,,,,,,1.20.0,,,Runtime / State Backends,Runtime / Task,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Wed May 08 07:11:31 UTC 2024,,,,,,,,,,"0|z1oxcw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"08/May/24 07:11;masteryhx;merged 81fd465a into master.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flink CDC pipeline transform doesn't support decimal-type comparison,FLINK-35261,13577514,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,xiqian_yu,xiqian_yu,29/Apr/24 02:58,29/Apr/24 02:58,04/Jun/24 20:40,,,,,,,,,,,,,Flink CDC,,,,0,,,"It would be convenient if we can filter by comparing decimal to number literals like:

{{transform:}}

{{  - source-table: XXX}}

{{    filter: price > 50}}

where price is a Decimal typed column. However currently such expression is not supported, and a runtime exception will be thrown as follows:

 

Caused by: org.apache.flink.api.common.InvalidProgramException: Expression cannot be compiled. This is a bug. Please file an issue.
Expression: import static org.apache.flink.cdc.runtime.functions.SystemFunctionUtils.*;PRICEALPHA > 50
    at org.apache.flink.cdc.runtime.operators.transform.TransformExpressionCompiler.lambda$compileExpression$0(TransformExpressionCompiler.java:62) ~[blob_p-c3b34ad5a5a3a0bc443bb738e308b20b1da04a1f-8d419e2c927baeb0eeb40fb35c0a52dc:3.2-SNAPSHOT]
    at org.apache.flink.shaded.guava31.com.google.common.cache.LocalCache$LocalManualCache$1.load(LocalCache.java:4868) ~[blob_p-d4bee45ff47f13d247ff78e6f3d164170cf71835-4816fa00c7fd16a7096498e5ed3caaee:3.2-SNAPSHOT]
    at org.apache.flink.shaded.guava31.com.google.common.cache.LocalCache$LoadingValueReference.loadFuture(LocalCache.java:3533) ~[blob_p-d4bee45ff47f13d247ff78e6f3d164170cf71835-4816fa00c7fd16a7096498e5ed3caaee:3.2-SNAPSHOT]
    at org.apache.flink.shaded.guava31.com.google.common.cache.LocalCache$Segment.loadSync(LocalCache.java:2282) ~[blob_p-d4bee45ff47f13d247ff78e6f3d164170cf71835-4816fa00c7fd16a7096498e5ed3caaee:3.2-SNAPSHOT]
    at org.apache.flink.shaded.guava31.com.google.common.cache.LocalCache$Segment.lockedGetOrLoad(LocalCache.java:2159) ~[blob_p-d4bee45ff47f13d247ff78e6f3d164170cf71835-4816fa00c7fd16a7096498e5ed3caaee:3.2-SNAPSHOT]
    at org.apache.flink.shaded.guava31.com.google.common.cache.LocalCache$Segment.get(LocalCache.java:2049) ~[blob_p-d4bee45ff47f13d247ff78e6f3d164170cf71835-4816fa00c7fd16a7096498e5ed3caaee:3.2-SNAPSHOT]
    at org.apache.flink.shaded.guava31.com.google.common.cache.LocalCache.get(LocalCache.java:3966) ~[blob_p-d4bee45ff47f13d247ff78e6f3d164170cf71835-4816fa00c7fd16a7096498e5ed3caaee:3.2-SNAPSHOT]
    at org.apache.flink.shaded.guava31.com.google.common.cache.LocalCache$LocalManualCache.get(LocalCache.java:4863) ~[blob_p-d4bee45ff47f13d247ff78e6f3d164170cf71835-4816fa00c7fd16a7096498e5ed3caaee:3.2-SNAPSHOT]
    at org.apache.flink.cdc.runtime.operators.transform.TransformExpressionCompiler.compileExpression(TransformExpressionCompiler.java:46) ~[blob_p-c3b34ad5a5a3a0bc443bb738e308b20b1da04a1f-8d419e2c927baeb0eeb40fb35c0a52dc:3.2-SNAPSHOT]
    ... 17 more
Caused by: org.codehaus.commons.compiler.CompileException: Line 1, Column 89: Cannot compare types ""java.math.BigDecimal"" and ""int""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-04-29 02:58:03.0,,,,,,,,,,"0|z1ox74:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
