Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Cloners),Inward issue link (Completes),Outward issue link (Completes),Outward issue link (Completes),Outward issue link (Completes),Outward issue link (Completes),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Supercedes),Outward issue link (Supercedes),Inward issue link (Testing),Inward issue link (Testing),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Replace deprecated Calcite's SqlParser#configBuilder with SqlParser#config,FLINK-29067,13478088,,Technical Debt,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,Sergey Nuyanzin,Sergey Nuyanzin,Sergey Nuyanzin,22/Aug/22 22:21,09/Sep/22 13:13,04/Jun/24 20:41,09/Sep/22 13:13,1.17.0,,,,,,,,,,,Table SQL / API,,,,0,pull-request-available,,,,{{SqlParser#configBuilder}} is deprecated and probably will be removed in future versions. It is better to replace it with SqlParser#config,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Sep 09 13:13:50 UTC 2022,,,,,,,,,,"0|z17z2o:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"09/Sep/22 13:13;mapohl;master: 3a91ded289105684e107dfaf462159974d89456c;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconsider the runtime property of the BuiltInFunctionDefinition,FLINK-29066,13478053,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Won't Fix,,aitozi,aitozi,22/Aug/22 16:18,18/Dec/22 07:20,04/Jun/24 20:41,18/Dec/22 07:20,,,,,,,,,,,,Table SQL / Planner,,,,0,pull-request-available,,,,"I found a bit confused when implementing the inner built in functions when dealing with the runtime property. Currently, it has three types of the runtime property:
1) runtimeclass which means flink provide a class to define the runtime implementation
2) runtimeProvider which means the runtime class is code generated 
3) runtimeDefered which means it will use the calcite's sql operator to mapping the codegen

After some research, I found that we have 4 situations to deal:
1) non new stack operators.
2) new stack with own runtime class provided. eg: {{IFNULL}} -> runtimeClass
3) new stack translate to sql operator to provide runtime call gen.  eg:{{IS_NOT_TRUE}} -> runtimeDefered
4) new stack can not mapping to calcite's operator (mainly flink internal functions) without runtime class need mapping to the runtime callgen. eg: {{CURRENT_WATERMARK}}. -> runtimeProvided

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2022-08-22 16:18:38.0,,,,,,,,,,"0|z17yv4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flink v1.15.1 contains netty(version:3.10.6). There are many vulnerabilities, like CVE-2021-21409 etc. please confirm these version and fix. thx",FLINK-29065,13478049,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,liuhb86,liuhb86,22/Aug/22 16:05,21/Aug/23 10:35,04/Jun/24 20:41,,1.11.3,1.12.2,1.13.0,1.15.1,,,,,,,,Runtime / Coordination,,,,0,auto-deprioritized-major,auto-deprioritized-minor,,,"Though FLINK-22441 states it's fixed, we can still see Netty 3.10.6 is used in the latest version: [https://github.com/apache/flink/blob/master/flink-rpc/flink-rpc-akka/pom.xml#L102] and it show up in the security scan results:

 
|Netty Project|3.10.6.Final|BDSA-2018-4022|MEDIUM|4.7|
|Netty Project|3.10.6.Final|BDSA-2019-2642|MEDIUM|6.5|
|Netty Project|3.10.6.Final|BDSA-2019-2643|MEDIUM|6.7|
|Netty Project|3.10.6.Final|BDSA-2019-2649|MEDIUM|6.5|
|Netty Project|3.10.6.Final|BDSA-2019-2610|HIGH|7.2|
|Netty Project|3.10.6.Final|CVE-2019-16869 (BDSA-2019-3119)|HIGH|7.5|
|Netty Project|3.10.6.Final|BDSA-2020-0130|HIGH|8.8|
|Netty Project|3.10.6.Final|CVE-2019-20444 (BDSA-2019-4231)|CRITICAL|9.1|
|Netty Project|3.10.6.Final|CVE-2019-20445 (BDSA-2019-4230)|CRITICAL|9.1|
|Netty Project|3.10.6.Final|BDSA-2020-0666|MEDIUM|6.5|
|Netty Project|3.10.6.Final|CVE-2021-21290 (BDSA-2021-0311)|MEDIUM|5.5|
|Netty Project|3.10.6.Final|CVE-2021-21295 (BDSA-2021-0589)|MEDIUM|5.9|
|Netty Project|3.10.6.Final|CVE-2021-21409 (BDSA-2021-0828)|MEDIUM|5.9|
|Netty Project|3.10.6.Final|CVE-2021-37136|HIGH|7.5|
|Netty Project|3.10.6.Final|CVE-2021-37137|HIGH|7.5|
|Netty Project|3.10.6.Final|CVE-2021-43797 (BDSA-2021-3741)|MEDIUM|6.5|
|Netty Project|3.10.6.Final|CVE-2022-24823|MEDIUM|5.5|",,,,,,,,,,,,,,FLINK-22441,FLINK-28372,,,,,,FLINK-31217,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Aug 21 10:35:26 UTC 2023,,,,,,,,,,"0|z17yug:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"30/Aug/22 08:06;martijnvisser;This can't be fixed since Akka doesn't support Netty 4 and there's no newer version of Netty 3. This can only be resolved if FLINK-28372 is possible and if so, has been completed. ;;;","13/Aug/23 10:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issues has been marked as Major but is unassigned and neither itself nor its Sub-Tasks have been updated for 60 days. I have gone ahead and added a ""stale-major"" to the issue"". If this ticket is a Major, please either assign yourself or give an update. Afterwards, please remove the label or in 7 days the issue will be deprioritized.
;;;","21/Aug/23 10:35;flink-jira-bot;This issue was labeled ""stale-major"" 7 days ago and has not received any updates so it is being deprioritized. If this ticket is actually Major, please raise the priority and ask a committer to assign you the issue or revive the public discussion.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
java.lang.ClassCastException thrown while reporting influxdb metrics,FLINK-29064,13478013,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,Duplicate,,evgenyfish,evgenyfish,22/Aug/22 13:49,22/Aug/22 15:51,04/Jun/24 20:41,22/Aug/22 15:51,1.15.0,,,,,,,,,,,Connectors / Kafka,,,,0,,,,,"We report our own metrics to InfluxDb using Flink metric reporter extension: [https://nightlies.apache.org/flink/flink-docs-release-1.15/docs/deployment/metric_reporters/] , everything is working properly, we also see flink and kafka metrics.

But if we use kafkasink ( as a side output ) we get the following ClassCastException(s) for some kafka metrics:

13:40:30,568 WARN org.apache.flink.runtime.metrics.MetricRegistryImpl [] - Error while reporting metrics
java.lang.ClassCastException: class java.lang.Long cannot be cast to class java.lang.Double *(java.lang.Long and java.lang.Double* are in module java.base of loader 'bootstrap')
at org.apache.flink.streaming.connectors.kafka.internals.metrics.KafkaMetricMutableWrapper.getValue(KafkaMetricMutableWrapper.java:37) ~[flink-connector-kafka-1.15.0.jar:1.15.0]
at org.apache.flink.streaming.connectors.kafka.internals.metrics.KafkaMetricMutableWrapper.getValue(KafkaMetricMutableWrapper.java:27) ~[flink-connector-kafka-1.15.0.jar:1.15.0]
at org.apache.flink.metrics.influxdb.MetricMapper.map(MetricMapper.java:36) ~[flink-metrics-influxdb-1.15.0.jar:1.15.0]
at org.apache.flink.metrics.influxdb.InfluxdbReporter.buildReport(InfluxdbReporter.java:141) ~[flink-metrics-influxdb-1.15.0.jar:1.15.0]
at org.apache.flink.metrics.influxdb.InfluxdbReporter.report(InfluxdbReporter.java:127) ~[flink-metrics-influxdb-1.15.0.jar:1.15.0]
at org.apache.flink.runtime.metrics.MetricRegistryImpl$ReporterTask.run(MetricRegistryImpl.java:495) [flink-runtime-1.15.0.jar:1.15.0]
at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515) [?:?]
at java.util.concurrent.FutureTask.runAndReset(FutureTask.java:305) [?:?]
at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:305) [?:?]
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128) [?:?]
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628) [?:?]
at java.lang.Thread.run(Thread.java:834) [?:?]

 

13:06:56,838 WARN org.apache.flink.runtime.metrics.MetricRegistryImpl [] - Error while reporting metrics
java.lang.ClassCastException: class java.lang.String cannot be cast to class java.lang.Double *(java.lang.String and java.lang.Double* are in module java.base of loader 'bootstrap')
at org.apache.flink.streaming.connectors.kafka.internals.metrics.KafkaMetricMutableWrapper.getValue(KafkaMetricMutableWrapper.java:37) ~[flink-connector-kafka-1.15.0.jar:1.15.0]
at org.apache.flink.streaming.connectors.kafka.internals.metrics.KafkaMetricMutableWrapper.getValue(KafkaMetricMutableWrapper.java:27) ~[flink-connector-kafka-1.15.0.jar:1.15.0]
at org.apache.flink.metrics.influxdb.MetricMapper.map(MetricMapper.java:36) ~[flink-metrics-influxdb-1.15.0.jar:1.15.0]
at org.apache.flink.metrics.influxdb.InfluxdbReporter.buildReport(InfluxdbReporter.java:141) ~[flink-metrics-influxdb-1.15.0.jar:1.15.0]
at org.apache.flink.metrics.influxdb.InfluxdbReporter.report(InfluxdbReporter.java:127) ~[flink-metrics-influxdb-1.15.0.jar:1.15.0]
at org.apache.flink.runtime.metrics.MetricRegistryImpl$ReporterTask.run(MetricRegistryImpl.java:495) [flink-runtime-1.15.0.jar:1.15.0]
at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:515) [?:?]
at java.util.concurrent.FutureTask.runAndReset(FutureTask.java:305) [?:?]
at java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run(ScheduledThreadPoolExecutor.java:305) [?:?]
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1128) [?:?]
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:628) [?:?]
at java.lang.Thread.run(Thread.java:834) [?:?]

 

 ","Java 11.0.15

OS : Ubuntu 20 or Mac OS 

 ",,,,,,,,,,,,,,,,,,,,FLINK-27487,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2022-08-22 13:49:50.0,,,,,,,,,,"0|z17ymo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileFormatTest has some wrong assertion,FLINK-29063,13478003,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,klistopad,klistopad,klistopad,22/Aug/22 12:55,23/Aug/22 08:52,04/Jun/24 20:41,23/Aug/22 08:52,table-store-0.2.0,,,,,,,table-store-0.2.0,,,,Table Store,,,,0,pull-request-available,,,,org.apache.flink.table.store.file.FileFormatTest#testWriteRead reads the same value from file twice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Aug 23 08:52:08 UTC 2022,,,,,,,,,,"0|z17ykg:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"23/Aug/22 08:52;lzljs3620320;master: 3e4445611c97fde9b796f5be46385f945998f1c3
release-0.2: 287fe32f652780f116b7c1084f8b362ed56cfacb;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protobuf-plugin should download protoc via maven on flink-protobuf module,FLINK-29062,13478000,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,jiabao.sun,jiabao.sun,jiabao.sun,22/Aug/22 12:34,29/Aug/22 14:11,04/Jun/24 20:41,29/Aug/22 14:11,1.15.1,,,,,,,1.16.0,,,,Build System,,,,0,pull-request-available,,,,"[ERROR] Failed to execute goal com.github.os72:protoc-jar-maven-plugin:3.11.4:run (default) on project flink-protobuf: Error extracting protoc for version 3.21.2: Unsupported platform: protoc-3.21.2-osx-x86_64.exe -> [Help 1]

This issue is similar to FLINK-23661 but on the different module.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,https://github.com/os72/protoc-jar-maven-plugin/issues/68#issuecomment-455424245,,,,,,,,,,9223372036854775807,,,,Mon Aug 29 14:11:47 UTC 2022,,,,,,,,,,"0|z17yjs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/Aug/22 14:11;martijnvisser;Fixed in master: 7ac37c08918bc76ff67f196e6ef46b53027957b8;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleanup dead code in StringCallGen,FLINK-29061,13477991,,Technical Debt,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,aitozi,aitozi,22/Aug/22 11:23,21/Aug/23 10:35,04/Jun/24 20:41,,,,,,,,,,,,,Table SQL / Planner,,,,0,auto-deprioritized-major,pull-request-available,,,"In the https://issues.apache.org/jira/browse/FLINK-13522, we dropped some function in the blink planner. There are still some dead codes for it now. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Aug 21 10:35:27 UTC 2023,,,,,,,,,,"0|z17yhs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"13/Aug/23 10:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issues has been marked as Major but is unassigned and neither itself nor its Sub-Tasks have been updated for 60 days. I have gone ahead and added a ""stale-major"" to the issue"". If this ticket is a Major, please either assign yourself or give an update. Afterwards, please remove the label or in 7 days the issue will be deprioritized.
;;;","21/Aug/23 10:35;flink-jira-bot;This issue was labeled ""stale-major"" 7 days ago and has not received any updates so it is being deprioritized. If this ticket is actually Major, please raise the priority and ask a committer to assign you the issue or revive the public discussion.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can not set rewriteBatchedStatements parameter for JDBC catalog for MySQL,FLINK-29060,13477985,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,macdoor615,macdoor615,22/Aug/22 11:00,11/Mar/24 12:43,04/Jun/24 20:41,,1.15.1,,,,,,,1.20.0,,,,Connectors / JDBC,,,,0,,,,,"execute following code in sql-client.sh
{code:java}
CREATE CATALOG mysql_bnpmp3 WITH(
 'type' = 'jdbc',
 'default-database' = 'gem_tmp',
 'username' = 'bnpmp',
 'password' = '*********',
 'base-url' = 'jdbc:mysql://hb3-prod-mysql:32759?rewriteBatchedStatements=true'
);{code}
output an error
{code:java}
[ERROR] Could not execute SQL statement. Reason:
java.lang.IllegalArgumentException: No enum constant com.mysql.cj.conf.BooleanPropertyDefinition.AllowableValues.""TRUE""/GEM_TMP{code}
rewriteBatchedStatements is a very import parameter, without it, data insertion performance will be very poor. 


I found a trick to overcome this problem. I changed jdbcUrl format and it works.
{code:java}
CREATE CATALOG mysql_bnpmp WITH(
    'type' = 'jdbc',
    'default-database' = 'gem_tmp',
    'username' = 'bnpmp',
    'password' = '*******',
    'base-url' = 'jdbc:mysql://(host=hb3-prod-mysql,port=32759,rewriteBatchedStatements=true)'
);
 {code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2022-08-22 11:00:25.0,,,,,,,,,,"0|z17ygg:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The existing column stats are deleted incorrectly when analyze table for partial columns,FLINK-29059,13477977,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,337361684@qq.com,337361684@qq.com,337361684@qq.com,22/Aug/22 10:27,25/Aug/22 14:03,04/Jun/24 20:41,25/Aug/22 14:02,1.16.0,,,,,,,1.16.0,,,,Table SQL / Planner,,,,0,pull-request-available,,,,"If there are three columns named `a, b, c` with column stats already exists,  I just analyze column `a` using `Analyze table xxx FOR COLUMNS a`, the existing column stats of `b, c` will be reset back to empty.",,,,,,,,,,,,,,,,FLINK-28939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Aug 25 14:02:10 UTC 2022,,,,,,,,,,"0|z17yeo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"22/Aug/22 10:28;337361684@qq.com;This Jira  is related to [FLINK-28939|https://issues.apache.org/jira/browse/FLINK-28939];;;","25/Aug/22 14:02;godfrey;Fixed in master: fe392645421d10923c75cd5438b91d9ed55900d3;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analyze table xxx For columns will thrown error while encounter String type column with null value,FLINK-29058,13477976,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,337361684@qq.com,337361684@qq.com,22/Aug/22 10:20,11/Mar/24 12:44,04/Jun/24 20:41,,1.16.0,,,,,,,1.20.0,,,,Table SQL / Planner,,,,0,,,,,"When String/varchar type column `a` have `null` value, `Analyze table xxx FOR ALL COLUMNS/ COLUMNS a` may throw error:
{code:java}
[ERROR] Could not execute SQL statement. Reason:
org.apache.thrift.protocol.TProtocolException: Required field 'maxColLen' is unset! Struct:StringColumnStatsData(maxColLen:0, avgColLen:0.0, numNulls:1, numDVs:0) {code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Aug 22 10:25:07 UTC 2022,,,,,,,,,,"0|z17yeg:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"22/Aug/22 10:25;337361684@qq.com;This Jira is realated to [FLINK-28939|https://issues.apache.org/jira/browse/FLINK-28939];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can not set rewriteBatchedStatements parameter for JDBC catalog for MySQL,FLINK-29057,13477975,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Invalid,,macdoor615,macdoor615,22/Aug/22 10:19,22/Aug/22 10:57,04/Jun/24 20:41,22/Aug/22 10:57,1.15.0,,,,,,,,,,,Connectors / JDBC,,,,0,,,,,"execute following code in sql-client.sh
{code:java}
CREATE CATALOG mysql_bnpmp3 WITH(
 'type' = 'jdbc',
 'default-database' = 'gem_tmp',
 'username' = 'bnpmp',
 'password' = '*********',
 'base-url' = 'jdbc:mysql://hb3-prod-mysql:32759?rewriteBatchedStatements=true'
);{code}
output error
{code:java}
[ERROR] Could not execute SQL statement. Reason:
java.lang.IllegalArgumentException: No enum constant com.mysql.cj.conf.BooleanPropertyDefinition.AllowableValues.""TRUE""/GEM_TMP
{code}
rewriteBatchedStatements is a very import parameter, without it, data insertion performance will be very poor. 

I found a trick to overcome this problem. I changed jdbcUrl format and it works.
{code:java}
CREATE CATALOG mysql_bnpmp WITH(
    'type' = 'jdbc',
    'default-database' = 'gem_tmp',
    'username' = 'bnpmp',
    'password' = '*******',
    'base-url' = 'jdbc:mysql://(host=hb3-prod-mysql,port=32759,rewriteBatchedStatements=true)'
);
 
{code}
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2022-08-22 10:19:23.0,,,,,,,,,,"0|z17ye8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Throw PartitionNotFoundException if the partition file is not readable for hybrid shuffle.,FLINK-29056,13477971,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,Weijie Guo,Weijie Guo,Weijie Guo,22/Aug/22 10:04,26/Aug/22 14:38,04/Jun/24 20:41,26/Aug/22 14:38,1.16.0,,,,,,,1.16.0,,,,Runtime / Network,,,,0,pull-request-available,,,,"If data file is not readable especially data loss, throw PartitionNotFoundException to mark this result partition failed. Otherwise, the partition data is not regenerated, so failover can not recover the job.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Aug 26 14:38:06 UTC 2022,,,,,,,,,,"0|z17ydc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"26/Aug/22 14:38;xtsong;master (1.16): c643a2953ba44b3b316ba52983932329dc0162e4;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
