Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Inward issue link (Blocker),Inward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Completes),Outward issue link (Completes),Inward issue link (Container),Outward issue link (Container),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Incorporates),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Required),Inward issue link (Required),Outward issue link (Required),Outward issue link (Supercedes),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Language),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Use larger data reading buffer size for sort-shuffle,FLINK-28378,13469936,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Won't Fix,,kevin.cyj,kevin.cyj,04/Jul/22 09:24,09/Feb/23 09:51,04/Jun/24 20:42,09/Feb/23 09:51,,,,,,,,,Runtime / Network,,,,,,,0,,,,,"Currently, for sort shuffle, we always use the network buffer size as the data reading buffer size which is 32K by default. We can increase this buffer size for better performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,2022-07-04 09:24:04.0,,,,,,,,,,"0|z16l14:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decrease the memory size per request for sort-shuffle data read from 8M to 4M,FLINK-28377,13469927,13469906,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,tanyuxin,kevin.cyj,kevin.cyj,04/Jul/22 08:54,22/Jul/22 03:35,04/Jun/24 20:42,22/Jul/22 03:35,,,,,,1.16.0,,,Runtime / Network,,,,,,,0,pull-request-available,,,,"Currently, for sort blocking shuffle, the corresponding data reader always allocate a fixed size of 8M buffers for shuffle data reading. FLINK-28373 can increase buffer utilization, after which, we can reduce the buffer size per request to reduce the time waiting for buffers. (This change is guarded by TPC-DS test that there is no performance regression)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Fri Jul 22 03:35:08 UTC 2022,,,,,,,,,,"0|z16kz4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"22/Jul/22 03:35;kevin.cyj;Merged into master via cfc5d724217cda4140d7efda552e83b8ba36ffb6;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restrict the number of threads for sort-shuffle data read,FLINK-28376,13469914,13469906,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,tanyuxin,kevin.cyj,kevin.cyj,04/Jul/22 08:31,21/Jul/22 03:26,04/Jun/24 20:42,21/Jul/22 03:26,,,,,,1.16.0,,,Runtime / Network,,,,,,,0,pull-request-available,,,,"Currently, the number of IO threads for shuffle data reading is relevant to the size of reading memory and the number of CPU cores. We should also consider the number of slots and the number of disks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Thu Jul 21 03:26:21 UTC 2022,,,,,,,,,,"0|z16kw8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"21/Jul/22 03:26;kevin.cyj;Merged into master via 2f76a30569332728def4df0c316ee1a4f3409aa9;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether to consider adding other data type to support for last_value function,FLINK-28375,13469910,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,hehuiyuan,hehuiyuan,04/Jul/22 08:21,17/Feb/23 03:09,04/Jun/24 20:42,,,,,,,,,,Table SQL / API,,,,,,,0,,,,," 
{code:java}
CREATE TABLE kafkaTableSource (
 keyField INTEGER,
 timestampField INTEGER,
 arrayField ARRAY<String>,
 ws as TO_TIMESTAMP(FROM_UNIXTIME(timestampField)),
 WATERMARK FOR ws AS ws
) WITH (
    'connector' = 'kafka',
    'topic' = 'hehuiyuan1',
    'scan.startup.mode' = 'latest-offset',
    'properties.bootstrap.servers' = 'localhost:9092',
    'properties.client.id' = 'test-consumer-group',
    'properties.group.id' = 'test-consumer-group',
    'format' = 'json'
);

CREATE TABLE kafkaTableSink(
    keyField INTEGER,
    timestampField INTEGER,
    arrayLastValue ARRAY<String>
)
WITH (
    'connector' = 'print'
);

insert into kafkaTableSink
select keyField,timestampField, last_value(arrayField) over (partition by keyField order by ws) from kafkaTableSource;
{code}
{color:#ff0000}Exception in thread ""main"" org.apache.flink.table.api.TableException: LAST_VALUE aggregate function does not support type: ''ARRAY''.{color}
{color:#ff0000}Please re-check the data type.{color}

 

I have a  modification to support this, but why does the community not support it? 

Is there any special reason that i do not considered?

 

The test the array data type can run:

mock data:

!image-2022-07-04-16-21-28-198.png!

result is right:

!image-2022-07-04-16-20-08-661.png|width=626,height=146!

 

 

non over window last value funciton test:
{code:java}
CREATE TABLE kafkaTableSource (
 keyField INTEGER,
 timestampField INTEGER,
 arrayField ARRAY<String>,
 ws as TO_TIMESTAMP(FROM_UNIXTIME(timestampField)),
 WATERMARK FOR ws AS ws - INTERVAL '2' SECOND
) WITH (
    'connector' = 'kafka',
    'topic' = 'hehuiyuan1',
    'scan.startup.mode' = 'latest-offset',
    'properties.bootstrap.servers' = 'localhost:9092',
    'properties.client.id' = 'test-consumer-group',
    'properties.group.id' = 'test-consumer-group',
    'format' = 'json'
);

CREATE TABLE kafkaTableSink(
    keyField INTEGER,
    arrayLastValue ARRAY<String>
)
WITH (
    'connector' = 'print'
);

insert into kafkaTableSink
select keyField, last_value(arrayField) from kafkaTableSource GROUP BY TUMBLE(ws,INTERVAL '5' SECOND),keyField;
 {code}
The mock data:

!image-2022-07-04-16-42-31-399.png|width=705,height=183!

The result is right

!image-2022-07-04-16-44-02-720.png|width=687,height=155!

 

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/Jul/22 08:20;hehuiyuan;image-2022-07-04-16-20-08-661.png;https://issues.apache.org/jira/secure/attachment/13046206/image-2022-07-04-16-20-08-661.png","04/Jul/22 08:21;hehuiyuan;image-2022-07-04-16-21-28-198.png;https://issues.apache.org/jira/secure/attachment/13046205/image-2022-07-04-16-21-28-198.png","04/Jul/22 08:42;hehuiyuan;image-2022-07-04-16-42-31-399.png;https://issues.apache.org/jira/secure/attachment/13046207/image-2022-07-04-16-42-31-399.png","04/Jul/22 08:44;hehuiyuan;image-2022-07-04-16-44-02-720.png;https://issues.apache.org/jira/secure/attachment/13046208/image-2022-07-04-16-44-02-720.png","05/Jul/22 08:56;hehuiyuan;image-2022-07-05-16-56-36-721.png;https://issues.apache.org/jira/secure/attachment/13046275/image-2022-07-05-16-56-36-721.png",,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Fri Feb 17 03:09:23 UTC 2023,,,,,,,,,,"0|z16kvc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jul/22 11:21;martijnvisser;Looking at other SQL implementations like Postgres or MySQL, they all expect a scalar and not a compound data type. If you're interested in the entire array, why not cast it to a string? ;;;","04/Jul/22 12:37;hehuiyuan;Hi [~martijnvisser]  , we have some business  which needs  to use array data type.

That's why we have this problem;;;","04/Jul/22 13:52;martijnvisser;[~hehuiyuan] There is support in the Flink Type System for arrays https://nightlies.apache.org/flink/flink-docs-master/docs/dev/table/types/ but it's just the return type of this function is expecting to be a scalar (like a string). I don't see that we'll add support for this in Flink. ;;;","05/Jul/22 08:43;hehuiyuan;[~martijnvisser]  ok , thanks.

 

Are Timestamp and Char type  not support ?

!image-2022-07-05-16-56-36-721.png|width=539,height=312!;;;","05/Jul/22 10:55;martijnvisser;[~hehuiyuan] As you can see in the link I've provided earlier, both CHAR and TIMESTAMP are supported data types in Flink's type system. ;;;","17/Feb/23 03:09;hehuiyuan;Hi [~martijnvisser]  , both CHAR and TIMESTAMP are supported data types in Flink's type system.

As shown above, the last_value function not support .

Does this need support?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some further improvements of blocking shuffle,FLINK-28374,13469906,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,,kevin.cyj,kevin.cyj,04/Jul/22 08:16,14/Oct/22 10:09,04/Jun/24 20:42,09/Aug/22 06:51,,,,,,1.16.0,,,Runtime / Network,,,,,,,0,,,,,This is an umbrella issue for sort-shuffle Improvements.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-29641,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,2022-07-04 08:16:28.0,,,,,,,,,,"0|z16kug:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Read a full buffer of data per file IO read request for sort-shuffle,FLINK-28373,13469905,13469906,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,tanyuxin,kevin.cyj,kevin.cyj,04/Jul/22 08:13,12/Aug/22 04:31,04/Jun/24 20:42,09/Aug/22 06:50,,,,,,1.16.0,,,Runtime / Network,,,,,,,0,pull-request-available,,,,"Currently, for sort blocking shuffle, the corresponding data readers read shuffle data in buffer granularity. Before compression, each buffer is 32K by default, after compression the size will become smaller (may less than 10K). For file IO, this is pretty smaller. To achieve better performance and reduce IOPS, we can read more data per IO read request and parse buffer header and data in memory.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-28789,FLINK-28942,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Tue Aug 09 06:50:48 UTC 2022,,,,,,,,,,"0|z16ku8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"09/Aug/22 06:50;kevin.cyj;Merged into master via d6a47d897a9a4753c800b39adb17c06e154422cc;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigate Akka Artery,FLINK-28372,13469894,,Technical Debt,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,ferenc-csaky,chesnay,chesnay,04/Jul/22 07:44,04/Sep/23 22:35,04/Jun/24 20:42,,,,,,,,,,Runtime / RPC,,,,,,,2,pull-request-available,stale-assigned,,,Our current Akka setup uses the deprecated netty-based stack. We need to eventually migrate to Akka Artery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-29065,,,,,,FLINK-24736,,,,,,,,,,FLINK-24743,,,FLINK-30772,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Mon Sep 04 22:35:10 UTC 2023,,,,,,,,,,"0|z16krs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Sep/23 22:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upgrade netty version in flink-akka-rpc,FLINK-28371,13469885,,Technical Debt,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Won't Fix,,mishagr,mishagr,04/Jul/22 07:15,04/Jul/22 07:44,04/Jun/24 20:42,04/Jul/22 07:44,1.14.5,1.15.0,1.16.0,,,,,,Runtime / RPC,,,,,,,0,,,,,"flink-akka-rpc contains dependency on io.netty:netty:3.10.6.Final

which is very old version with multiple known critical vulnerabilities.

Please upgrade this version to at least 4.1.70 as in shaded netty dependency.

Thanks,

Michael",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Mon Jul 04 07:44:48 UTC 2022,,,,,,,,,,"0|z16kps:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jul/22 07:44;chesnay;There is no version of Akka that supports Netty 4.

Closing this in favor of FLINK-28372.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add close method for KafkaRecordSerializationSchema,FLINK-28370,13469881,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,ruanhang1993,leonard,leonard,04/Jul/22 07:02,11/Oct/23 18:54,04/Jun/24 20:42,,1.14.5,1.15.0,,,,,,,Connectors / Kafka,,,,,,,0,pull-request-available,stale-assigned,,,"KafkaRecordSerializationSchema only offers open() method, we should offer close() method to release the opened resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-22902,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Sat Aug 20 22:37:48 UTC 2022,,,,,,,,,,"0|z16kow:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jul/22 07:05;ruanhang1993;I am interested in this ticket and I could help to resolve this issue.;;;","20/Aug/22 22:37;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support PARSE_URL bulit-in function in Table API,FLINK-28369,13469857,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,ana4,ana4,ana4,04/Jul/22 05:09,07/Jul/22 01:13,04/Jun/24 20:42,07/Jul/22 01:13,,,,,,1.16.0,,,API / Python,Table SQL / API,,,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,FLINK-28071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Thu Jul 07 01:13:14 UTC 2022,,,,,,,,,,"0|z16kjk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"07/Jul/22 01:13;dianfu;Merged to master via a5b088da231be0d844ef2bc74c148e3bafffb2e1;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get field type return result problem,FLINK-28368,13469850,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Not A Problem,,hunterLiu,hunterLiu,04/Jul/22 02:51,04/Jul/22 03:16,04/Jun/24 20:42,04/Jul/22 03:16,,,,,,,,,Table SQL / API,,,,,,,0,,,,,"When I use resolved Schema.get Column Data Types(), I expect it to return the types of all fields, but it returns the nullable of the field type. I don't know if it's a design flaw, or I Problems caused during use",flink1.14.x+iceberg0.13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"04/Jul/22 02:51;hunterLiu;1.png;https://issues.apache.org/jira/secure/attachment/13046195/1.png","04/Jul/22 02:51;hunterLiu;2.png;https://issues.apache.org/jira/secure/attachment/13046194/2.png",,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Mon Jul 04 03:16:03 UTC 2022,,,,,,,,,,"0|z16ki0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"04/Jul/22 02:52;hunterLiu;If this is a bug, send it to me to fix it;;;","04/Jul/22 03:16;jark;It's by design. Nullability is a part of data type in Flink. ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OffsetDateTime does not work with keyBy,FLINK-28367,13469824,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,_hl_,_hl_,03/Jul/22 15:49,05/Jul/22 11:14,04/Jun/24 20:42,,1.15.0,,,,,,,,API / DataStream,API / Type Serialization System,,,,,,0,,,,,"Using keyBy incorrectly (de-)serializes java.time.OffsetDateTime types - the offset gets lost and becomes null.

Here's a minimal non-working example:

 
{code:java}
import org.apache.flink.streaming.api.environment.StreamExecutionEnvironment

import java.time.OffsetDateTime

object MWE {
  def main(args: Array[String]): Unit = {
    val env = StreamExecutionEnvironment.getExecutionEnvironment

    env
      .fromElements(""2022-07-03T15:35:48.142Z"", ""2022-07-03T15:35:48.438Z"")
      .map(OffsetDateTime.parse(_))
      .keyBy((t: OffsetDateTime) => t)
      .print()

    env.execute()
  }
} {code}
 

Expected Output:
{code:java}
2022-07-03T15:35:48.438Z
2022-07-03T15:35:48.142Z{code}
Actual Output:
{code:java}
2022-07-03T15:35:48.438null
2022-07-03T15:35:48.142null{code}
The issue arises whenever keyBy and OffsetDateTime are involved; I believe it could have something to do with the way that flink serializes the state.","* Java 1.8 (openjdk 1.8.0_322)
 * Scala 2.12.15
 * Flink 1.15.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,Tue Jul 05 11:14:53 UTC 2022,,,,,,,,,,"0|z16kc8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"03/Jul/22 17:12;_hl_;A workaround is to register a custom Kryo serializer that simply uses toString and parse:
{code:java}
import java.time.OffsetDateTime

import com.esotericsoftware.kryo.io.{Input, Output}
import com.esotericsoftware.kryo.{Kryo, Serializer}

class FixedOffsetDateTimeSerializer
    extends Serializer[OffsetDateTime]
    with Serializable {
  override def write(kryo: Kryo, output: Output, obj: OffsetDateTime): Unit =
    output.writeString(obj.toString)

  override def read(
      kryo: Kryo,
      input: Input,
      `type`: Class[OffsetDateTime]
  ): OffsetDateTime =
    OffsetDateTime.parse(input.readString())
}

object MWE {
  def main(args: Array[String]): Unit = {
    val env = StreamExecutionEnvironment.getExecutionEnvironment
    env.getConfig.registerTypeWithKryoSerializer[FixedOffsetDateTimeSerializer](
      classOf[OffsetDateTime],
      new FixedOffsetDateTimeSerializer()
    )

    env
      .fromElements(""2022-07-03T15:35:48.142Z"", ""2022-07-03T15:35:48.438Z"")
      .map(OffsetDateTime.parse(_))
      .keyBy((t: OffsetDateTime) => t)
      .print()

    env.execute()
  }
}  {code}
But I feel like this should be working out of the box.;;;","03/Jul/22 21:29;qingwei91;I had a look, I think part of it is that we are using a very old version of Kryo, this issue is fixed in the newer version.

 

One way to fix it easily is to add new kryo version to your deps, as documented here: [https://github.com/EsotericSoftware/kryo#with-maven]

If you're using sbt, just add the following to your deps should suffice, it fixes the issue for me (using your example, thanks for that)
{code:java}
""com.esotericsoftware"" % ""kryo"" % ""5.3.0""{code}
 

I think it might be a good idea to bump Flink's Kryo, but I dont know what it entails, is it going to be a pain to upgrade because we depends on many obselete API? Might be good to get contributor's input here, and have it tracked in dedicated ticket;;;","04/Jul/22 11:24;martijnvisser;We ""can't"" bump Flink's Kryo version, see FLINK-3154;;;","04/Jul/22 12:18;_hl_;Thank's Lim for identifying the root cause!

Without having a deep understanding of flink, wouldn't it be possible to run multiple versions of Kryo in parallel, and default to the newer one (with proper versioning in savepoints) for new projects?;;;","05/Jul/22 11:14;martijnvisser;[~_hl_] Unfortunately not. It would be a welcome addition though :) ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
