Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Outward issue link (Blocked),Inward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Outward issue link (Child-Issue),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Completes),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Incorporates),Inward issue link (Issue split),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Testing),Outward issue link (Testing),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Open catalog in CatalogManager should use proper context classloader,FLINK-34463,13569040,,Bug,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,wangsan,wangsan,19/Feb/24 09:14,01/Mar/24 08:42,04/Jun/24 20:40,,1.17.2,1.18.1,,,,,,,,,,Table SQL / Runtime,,,,0,pull-request-available,,,,"When we try to create a catalog in CatalogManager, if the catalog jar is added using `ADD JAR` and the catalog itself requires SPI mechanism, the operation may fail.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-19 09:14:28.0,,,,,,,,,,"0|z1nhd4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session window with negative parameter throws unclear exception,FLINK-34462,13569034,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,xu_shuai_,xu_shuai_,19/Feb/24 09:01,03/Mar/24 07:14,04/Jun/24 20:40,,1.19.0,,,,,,,,,,,Table SQL / Planner,,,,0,pull-request-available,,,,"Set invalid parameter in session window get unclear error.
{code:java}
// add test in WindowAggregateITCase
def testEventTimeSessionWindowWithInvalidName(): Unit = {
  val sql =
    """"""
      |SELECT
      |  window_start,
      |  window_end,
      |  COUNT(*),
      |  SUM(`bigdec`),
      |  MAX(`double`),
      |  MIN(`float`),
      |  COUNT(DISTINCT `string`),
      |  concat_distinct_agg(`string`)
      |FROM TABLE(
      |   SESSION(TABLE T1, DESCRIPTOR(rowtime), INTERVAL '-5' SECOND))
      |GROUP BY window_start, window_end
    """""".stripMargin

  val sink = new TestingAppendSink
  tEnv.sqlQuery(sql).toDataStream.addSink(sink)
  env.execute()
} 

{code}
{code:java}
java.lang.AssertionError: Sql optimization: Assertion error: null at org.apache.flink.table.planner.plan.optimize.program.FlinkVolcanoProgram.optimize(FlinkVolcanoProgram.scala:79) at org.apache.flink.table.planner.plan.optimize.program.FlinkChainedProgram.$anonfun$optimize$1(FlinkChainedProgram.scala:59) at scala.collection.TraversableOnce.$anonfun$foldLeft$1(TraversableOnce.scala:156) at scala.collection.TraversableOnce.$anonfun$foldLeft$1$adapted(TraversableOnce.scala:156) at scala.collection.Iterator.foreach(Iterator.scala:937) at scala.collection.Iterator.foreach$(Iterator.scala:937) at scala.collection.AbstractIterator.foreach(Iterator.scala:1425) at scala.collection.IterableLike.foreach(IterableLike.scala:70) at scala.collection.IterableLike.foreach$(IterableLike.scala:69) at scala.collection.AbstractIterable.foreach(Iterable.scala:54) at scala.collection.TraversableOnce.foldLeft(TraversableOnce.scala:156) at scala.collection.TraversableOnce.foldLeft$(TraversableOnce.scala:154) at scala.collection.AbstractTraversable.foldLeft(Traversable.scala:104) at org.apache.flink.table.planner.plan.optimize.program.FlinkChainedProgram.optimize(FlinkChainedProgram.scala:55) at org.apache.flink.table.planner.plan.optimize.StreamCommonSubGraphBasedOptimizer.optimizeTree(StreamCommonSubGraphBasedOptimizer.scala:176) at org.apache.flink.table.planner.plan.optimize.StreamCommonSubGraphBasedOptimizer.doOptimize(StreamCommonSubGraphBasedOptimizer.scala:83) at org.apache.flink.table.planner.plan.optimize.CommonSubGraphBasedOptimizer.optimize(CommonSubGraphBasedOptimizer.scala:87) at org.apache.flink.table.planner.delegation.PlannerBase.optimize(PlannerBase.scala:320) at org.apache.flink.table.planner.delegation.PlannerBase.translate(PlannerBase.scala:178) at org.apache.flink.table.api.bridge.internal.AbstractStreamTableEnvironmentImpl.toStreamInternal(AbstractStreamTableEnvironmentImpl.java:224) at org.apache.flink.table.api.bridge.internal.AbstractStreamTableEnvironmentImpl.toStreamInternal(AbstractStreamTableEnvironmentImpl.java:219) at org.apache.flink.table.api.bridge.scala.internal.StreamTableEnvironmentImpl.toDataStream(StreamTableEnvironmentImpl.scala:151) at org.apache.flink.table.api.bridge.scala.internal.StreamTableEnvironmentImpl.toDataStream(StreamTableEnvironmentImpl.scala:128) at org.apache.flink.table.api.bridge.scala.TableConversions.toDataStream(TableConversions.scala:60) at org.apache.flink.table.planner.runtime.stream.sql.WindowAggregateITCase.testEventTimeSessionWindowWithInvalidName(WindowAggregateITCase.scala:1239) at java.lang.reflect.Method.invoke(Method.java:498) at java.util.stream.ForEachOps$ForEachOp$OfRef.accept(ForEachOps.java:183) at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) at java.util.stream.ReferencePipeline$2$1.accept(ReferencePipeline.java:175) at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) at java.util.stream.ForEachOps$ForEachOp$OfRef.accept(ForEachOps.java:183) at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) at java.util.stream.ReferencePipeline$3$1.accept(ReferencePipeline.java:193) at java.util.Iterator.forEachRemaining(Iterator.java:116) at scala.collection.convert.Wrappers$IteratorWrapper.forEachRemaining(Wrappers.scala:26) at java.util.Spliterators$IteratorSpliterator.forEachRemaining(Spliterators.java:1801) at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482) at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472) at java.util.stream.ForEachOps$ForEachOp.evaluateSequential(ForEachOps.java:150) at java.util.stream.ForEachOps$ForEachOp$OfRef.evaluateSequential(ForEachOps.java:173) at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) at java.util.stream.ReferencePipeline.forEach(ReferencePipeline.java:485) at java.util.stream.ReferencePipeline$7$1.accept(ReferencePipeline.java:272) at java.util.ArrayList$ArrayListSpliterator.forEachRemaining(ArrayList.java:1384) at java.util.stream.AbstractPipeline.copyInto(AbstractPipeline.java:482) at java.util.stream.AbstractPipeline.wrapAndCopyInto(AbstractPipeline.java:472) at java.util.stream.ForEachOps$ForEachOp.evaluateSequential(ForEachOps.java:150) at java.util.stream.ForEachOps$ForEachOp$OfRef.evaluateSequential(ForEachOps.java:173) at java.util.stream.AbstractPipeline.evaluate(AbstractPipeline.java:234) at java.util.stream.ReferencePipeline.forEach(ReferencePipeline.java:485) at java.util.concurrent.RecursiveAction.exec(RecursiveAction.java:189) at java.util.concurrent.ForkJoinTask.doExec(ForkJoinTask.java:289) at java.util.concurrent.ForkJoinPool$WorkQueue.runTask(ForkJoinPool.java:1056) at java.util.concurrent.ForkJoinPool.runWorker(ForkJoinPool.java:1692) at java.util.concurrent.ForkJoinWorkerThread.run(ForkJoinWorkerThread.java:175) Suppressed: org.opentest4j.AssertionFailedError: Expecting value to be true but was false
{code}
while the tumble window throws 
{code:java}
java.lang.IllegalArgumentException: Tumbling Window parameters must satisfy size > 0, but got size -5000ms.
	at org.apache.flink.util.Preconditions.checkArgument(Preconditions.java:138)	at org.apache.flink.table.runtime.operators.window.tvf.slicing.SliceAssigners$TumblingSliceAssigner.<init>(SliceAssigners.java:152)	at org.apache.flink.table.runtime.operators.window.tvf.slicing.SliceAssigners$TumblingSliceAssigner.<init>(SliceAssigners.java:136)	at org.apache.flink.table.runtime.operators.window.tvf.slicing.SliceAssigners.tumbling(SliceAssigners.java:65) {code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-34346,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-19 09:01:32.0,,,,,,,,,,"0|z1nhbs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MongoDB weekly builds fail with time out on Flink 1.18.1 for JDK17,FLINK-34461,13569033,,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,Fixed,jiabaosun,martijnvisser,martijnvisser,19/Feb/24 08:56,19/Feb/24 16:27,04/Jun/24 20:40,19/Feb/24 16:27,mongodb-1.1.0,,,,,,,mongodb-1.1.0,,,,Connectors / MongoDB,,,,0,test-stability,,,,"The weekly tests for MongoDB consistently time out for the v1.0 branch while testing Flink 1.18.1 for JDK17:

https://github.com/apache/flink-connector-mongodb/actions/runs/7770329490/job/21190387348

https://github.com/apache/flink-connector-mongodb/actions/runs/7858349600/job/21443232301

https://github.com/apache/flink-connector-mongodb/actions/runs/7945225005/job/21691624903
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Feb 19 16:23:09 UTC 2024,,,,,,,,,,"0|z1nhbk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"19/Feb/24 16:23;jiabaosun;The reason for this issue is that the v1.0 branch is missing the backport of FLINK-33899. 
It has been fixed in PR-28 via 
v1.0 (5a8b0979d79e1da009115cde7375bf28c45c22ad, a56c003b8c5aca646e47d4950189b81c9e7e75c3).

Since the main branch has update nightly builds against the latest released v1.1 branch which already includes these two commits, the nightly CI will not fail.
main (aaf3867b2a72a61a0511f250c36580842623b6bc);;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jdbc driver get rid of flink-core,FLINK-34460,13569009,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,,,zjureel,zjureel,19/Feb/24 05:24,21/Feb/24 08:05,04/Jun/24 20:40,,1.20.0,,,,,,,,,,,Table SQL / Client,,,,0,,,,,"Currently jdbc driver depends on flink-core/flink-runtime modules, users need to upgrade jdbc driver version when the flink session cluster for olap is upgraded, this is not very suitable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-19 05:24:33.0,,,,,,,,,,"0|z1nh68:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results column names should match SELECT clause expression names,FLINK-34459,13568979,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,,jeyhunkarimov,jeyhunkarimov,18/Feb/24 14:51,19/Feb/24 14:14,04/Jun/24 20:40,,1.18.1,,,,,,,,,,,Table SQL / Client,,,,0,,,,,"When printing {{SQL SELECT}} results, Flink will output generated expression name when the expression is not {{column reference or used with alias/over.}}
For example, select a, a + 1 from T would result in 


{code:java}
+----+-------------+-------------+
| op |           a |      EXPR$1 |
+----+-------------+-------------+
| +I |           1 |           2 |
| +I |           1 |           2 |
| +I |           1 |           2 |
+----+-------------+-------------+
{code}

Instead of the generated {{EXPR$1}} it would be nice to have {{a + 1}} (which is the case in some other data processing systems like Spark).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Feb 19 14:14:22 UTC 2024,,,,,,,,,,"0|z1ngzs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"19/Feb/24 08:11;martijnvisser;Should it? It would potentially result in really large names (if the output is the result of a complex series of functions for example), and it's easily solvable by using ""AS x"" in your SQL statement as well. ;;;","19/Feb/24 09:01;lorenzo.affetti;[~martijnvisser] well, if the name is a long one it can be truncated automatically via a simple check.

I like the proposal as it would increase the quality of result understanding (y);;;","19/Feb/24 09:07;martijnvisser;I still am not convinced this is an actual user improvement: why is this better then doing as ""AS x"" in your SQL statement? Is this really a user problem?

How would you determine where to truncate? Is it a static value, do you base it on the available width of the returned table? Do you return the full result from the planner, and make it a client-option only, or do you want to put this everything? Is this even SQL standard compliant?
;;;","19/Feb/24 10:14;jeyhunkarimov;Hi [~martijnvisser] yes, there are some tradeoffs. Using AS is always a solution, but then a user needs to modify a query [and maybe modify back]. 
And for queries with many projection expressions, user needs to remember the mapping between EXPR$X -> actual expression in the query. 

Some other systems like Spark does not truncate (at least for the large expressions I tried), some like MySQL/SQLite truncate after some point (they decide where and how to truncate for large expressions). 

So, we have multiple options to deal with the very large expressions: fallback to the current (EXPR$X) version, truncate, etc.
WDYT?
;;;","19/Feb/24 10:54;martijnvisser;I think it should be a FLIP and a discussion :) Can you create and start one?;;;","19/Feb/24 14:14;jeyhunkarimov;Yes that makes sense. Sure thing;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Rename options for Generalized incremental checkpoints (changelog),FLINK-34458,13568970,13566461,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,zakelly,zakelly,zakelly,18/Feb/24 08:57,22/Feb/24 06:05,04/Jun/24 20:40,22/Feb/24 06:05,,,,,,,,1.20.0,,,,Runtime / Checkpointing,Runtime / State Backends,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Feb 22 06:05:14 UTC 2024,,,,,,,,,,"0|z1ngxs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"22/Feb/24 06:05;masteryhx;merged e7e973e2 into master.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rename options for latency tracking,FLINK-34457,13568969,13566461,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,zakelly,zakelly,zakelly,18/Feb/24 08:55,22/Feb/24 02:50,04/Jun/24 20:40,22/Feb/24 02:50,,,,,,,,1.20.0,,,,Runtime / State Backends,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Feb 22 02:50:57 UTC 2024,,,,,,,,,,"0|z1ngxk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"22/Feb/24 02:50;masteryhx;merged 6be297d1 into master.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Move all checkpoint-related options into CheckpointingOptions,FLINK-34456,13568968,13566461,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,spoon-lz,zakelly,zakelly,18/Feb/24 08:54,29/May/24 15:20,04/Jun/24 20:40,29/May/24 15:20,,,,,,,,1.20.0,,,,Runtime / Checkpointing,,,,0,pull-request-available,,,,Move all checkpoint-related options that are out of `CheckpointingOptions` into `CheckpointingOptions`. Deprecate the original ones.,,,,,,,,,,,,,FLINK-34482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Wed May 29 15:20:41 UTC 2024,,,,,,,,,,"0|z1ngxc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"21/Feb/24 09:55;clevermose;Is there anyone working on this issue? If no one is working on it, I would be happy to help solve it.;;;","21/Feb/24 10:47;zakelly;[~clevermose] Thanks for volunteering! I've just started working on this, it blocks several tickets so it is better to be finished soon. If you have some free time recently, I can assign this to you.;;;","21/Feb/24 10:58;spoon-lz;[~Zakelly] Please assign the issue to me and I will try to complete this task as soon as possible;;;","21/Feb/24 11:10;zakelly;[~spoon-lz] It seems two accounts here. I'm sorry but are you the same person :)?;;;","21/Feb/24 11:16;spoon-lz;[~Zakelly] Yes, please forgive me for using a previous account in my first answer. After I discovered the problem, I changed my current account.;;;","21/Feb/24 11:18;zakelly;[~spoon-lz] Assigned to you. If you need any help, feel free to reach out.;;;","21/Feb/24 12:09;spoon-lz;[~Zakelly] I looked at FLIP-406 and took a quick look at the code. Want to know if what this PR wants to do is to migrate the configuration in ""ExecutionCheckpointingOptions"" to ""CheckpointingOptions"";;;","21/Feb/24 13:06;zakelly;[~spoon-lz] yes you are right. And `ExecutionCheckpointingOptions` should be annotated as @\Deprecated;;;","26/Feb/24 06:34;spoon-lz;[~Zakelly] This PR has been submitted, please check if it meets the requirements.;;;","29/May/24 15:20;zakelly;Merged into master via 89c89d85;;;",,,,,,,,,,,,,,,,,,,,,,,
Move RestoreMode from flink-runtime to flink-core,FLINK-34455,13568962,13566461,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Resolved,zakelly,zakelly,zakelly,18/Feb/24 06:52,22/Feb/24 08:51,04/Jun/24 20:40,22/Feb/24 08:37,,,,,,,,1.20.0,,,,Runtime / Checkpointing,,,,0,pull-request-available,,,,"This should be done according to the FLIP-406, since a new RecoveryOptions class will be introduced in flink-core, which contains options for RestoreMode.

Although RestoreMode is @PublicEvolving, there is no public user interface usage of this class (normal user would only use it in configuration), so no breaking change introduced.",,,,,,,,,,,,,FLINK-34454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Feb 22 08:37:05 UTC 2024,,,,,,,,,,"0|z1ngw0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"22/Feb/24 08:37;Yanfei Lei;merged 80090c7 into master.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Introduce StateRecoveryOptions in flink-core,FLINK-34454,13568957,13566461,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,zakelly,zakelly,zakelly,18/Feb/24 06:21,27/Feb/24 09:32,04/Jun/24 20:40,27/Feb/24 09:32,,,,,,,,1.20.0,,,,Runtime / Checkpointing,,,,0,pull-request-available,,,,,,,,,,,,,,,,FLINK-34455,FLINK-34484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Feb 27 09:32:21 UTC 2024,,,,,,,,,,"0|z1nguw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/Feb/24 09:32;masteryhx;merged 63dc5598...b9069227 into master;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Benchmark] Add warmup in SchedulerBenchmarkExecutor,FLINK-34453,13568956,,Improvement,Open,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,zakelly,zakelly,zakelly,18/Feb/24 05:35,19/Feb/24 03:53,04/Jun/24 20:40,,,,,,,,,1.20.0,,,,Benchmarks,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2024-02-18 05:35:37.0,,,,,,,,,,"0|z1nguo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release Testing: Verify FLINK-15959 Add min number of slots configuration to limit total number of slots,FLINK-34452,13568825,13566678,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,Weijie Guo,xiangyu0xf,xiangyu0xf,17/Feb/24 05:27,21/Feb/24 07:01,04/Jun/24 20:40,21/Feb/24 07:01,1.19.0,,,,,,,1.19.0,,,,Runtime / Coordination,,,,0,release-testing,,,,"Test Suggestion:
 # Prepare configuration options:
 ** taskmanager.numberOfTaskSlots = 2,
 ** slotmanager.number-of-slots.min = 7,
 ** slot.idle.timeout = 50000
 # Setup a Flink session Cluster on Yarn or Native Kubernetes based on following docs:
 ** [https://nightlies.apache.org/flink/flink-docs-master/docs/deployment/resource-providers/yarn/#starting-a-flink-session-on-yarn]
 ** [https://nightlies.apache.org/flink/flink-docs-master/docs/deployment/resource-providers/native_kubernetes/#starting-a-flink-session-on-kubernetes]
 # Verify that 4 TaskManagers will be registered even though no jobs has been submitted
 # Verify that these TaskManagers will not be destroyed after 50 seconds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-34391,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Wed Feb 21 07:00:49 UTC 2024,,,,,,,,,,"0|z1ngj4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"21/Feb/24 06:18;Weijie Guo;[~xiangyu0xf] I have tested this feature on a yarn cluster:

1. Set {{taskmanager.numberOfTaskSlots=2}}, {{slotmanager.number-of-slots.min=7}}, and {{slot.idle.timeout=50000}}.
2. Start a yarn session cluster.
3. From ActiveResourceManager's log that 4 workers (TM) were requested and successfully registered.
4. These workers are not be destroyed even after idle timeout.

Everything looks as expected then.;;;","21/Feb/24 06:58;xiangyu0xf;[~Weijie Guo] Thx for your work!;;;","21/Feb/24 07:00;xiangyu0xf;[~lincoln.86xy] Hi, I will close this ticket as resolved.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
