Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocked),Outward issue link (Blocked),Inward issue link (Blocker),Outward issue link (Blocker),Inward issue link (Child-Issue),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Completes),Outward issue link (Completes),Outward issue link (Container),Inward issue link (Dependent),Outward issue link (Dependent),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Supercedes),Outward issue link (Supercedes),Inward issue link (Testing),Outward issue link (Testing),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Support HA for flink operator,FLINK-27945,13448876,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Later,,jeesmon,jeesmon,07/Jun/22 20:57,08/Jun/22 11:40,04/Jun/24 20:51,08/Jun/22 11:40,,,,,,,,,,,,,,,,,,,Kubernetes Operator,,,,,0,,,,,Support running multiple replicas of operator pod with leader election for high availability.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Jun 08 11:40:29 UTC 2022,,,,,,,,,,"0|z1316g:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"07/Jun/22 20:58;jeesmon;Reference: https://docs.openshift.com/container-platform/4.7/operators/operator_sdk/osdk-leader-election.html

Leader Election Example: https://github.com/fabric8io/kubernetes-client/blob/master/kubernetes-examples/src/main/java/io/fabric8/kubernetes/examples/LeaderElectionExamples.java

Issue in JOSDK: https://github.com/java-operator-sdk/java-operator-sdk/issues/411;;;","08/Jun/22 05:55;gyfora;cc [~matyas] ;;;","08/Jun/22 11:40;gyfora;Based on discussions with the JOSDK developers this feature is not on their short term roadmap as almost no production user requests it.

The simple deployment based recovery (combined with https://issues.apache.org/jira/browse/FLINK-27956) should be enough for us until this feature becomes available, and even then it would only provide limited real value.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IO metrics collision happens if a task has union inputs,FLINK-27944,13448847,,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,Weijie Guo,zhuzh,zhuzh,07/Jun/22 17:03,01/Dec/22 16:01,04/Jun/24 20:51,01/Dec/22 16:01,1.15.0,,,,,,,,,,,,,,1.15.4,1.16.1,1.17.0,,Runtime / Metrics,,,,,0,pull-request-available,stale-assigned,,,"When a task has union inputs, some IO metrics(numBytesIn* and numBuffersIn*) of the different inputs may collide and failed to be registered.

 

The problem can be reproduced with a simple job like:
{code:java}
DataStream<String> source1 = env.fromElements(""abc"");
DataStream<String> source2 = env.fromElements(""123"");
source1.union(source2).print();{code}
 

Logs of collisions:
{code:java}
2022-06-08 00:59:01,629 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBytesInLocal'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0, Shuffle, Netty, Input]
2022-06-08 00:59:01,629 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBytesInLocalPerSecond'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0, Shuffle, Netty, Input]
2022-06-08 00:59:01,629 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBytesInLocal'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0]
2022-06-08 00:59:01,629 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBytesInLocalPerSecond'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBytesInRemote'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0, Shuffle, Netty, Input]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBytesInRemotePerSecond'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0, Shuffle, Netty, Input]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBytesInRemote'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBytesInRemotePerSecond'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBuffersInLocal'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0, Shuffle, Netty, Input]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBuffersInLocalPerSecond'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0, Shuffle, Netty, Input]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBuffersInLocal'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBuffersInLocalPerSecond'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBuffersInRemote'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0, Shuffle, Netty, Input]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBuffersInRemotePerSecond'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0, Shuffle, Netty, Input]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBuffersInRemote'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0]
2022-06-08 00:59:01,630 WARN  org.apache.flink.metrics.MetricGroup                         [] - Name collision: Group already contains a Metric with the name 'numBuffersInRemotePerSecond'. Metric will not be reported.[, taskmanager, fa9f270e-e904-4f69-8227-8d6e26e1be62, WordCount, Sink: Print to Std. Out, 0]
{code}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu Dec 01 16:01:44 UTC 2022,,,,,,,,,,"0|z13100:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"21/Jun/22 06:33;zhoujira86;this issue is introduced by register the metrics twice, I have created a PR to avoid the warning. ;;;","21/Jun/22 07:15;zhoujira86;[~chesnay] hi Chesnay, would you please help review the PR;;;","04/Aug/22 22:37;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;","30/Nov/22 12:26;Weijie Guo;[~zhoujira86] Is there any new progress on this PR? We have encountered the same problem, if you don't have time, I would like to add some tests and continue to complete the work.;;;","30/Nov/22 12:58;pnowojski;I think this PR has been abandoned (I asked to rebase it over a month ago without any response), so feel free to take the code over and create a new one! ;;;","30/Nov/22 13:42;Weijie Guo;[~pnowojski] Thanks for re-assigning this to me,  I will take over and go head~;;;","01/Dec/22 13:20;pnowojski;merged to master as 20808fd^ and 20808fd 
merged to release 1.16 as c589cd5f7c8^ and c589cd5f7c8

[~Weijie Guo], could you prepare a backport to release-1.15 branch? I've backported your changes to release-1.16 already, but while doing that for release-1.15 I stumbled across some conflicts.;;;","01/Dec/22 14:06;Weijie Guo;[~pnowojski] Thanks for the merge and backport, I have created the pull request to backport this to release-1.15(https://github.com/apache/flink/pull/21439), PTAL~;;;","01/Dec/22 16:01;pnowojski;Thanks! 

Merged to release 1.15 as dd3c3473a85^ and dd3c3473a85;;;",,,,,,,,,,,,,,,,,,,,,,,
Link Kubernetes Operator RoadMap Page To Flink RoadMap Page Web Site,FLINK-27943,13448822,,New Feature,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,ConradJam,ConradJam,ConradJam,07/Jun/22 14:14,23/Jun/22 10:56,04/Jun/24 20:51,23/Jun/22 09:14,kubernetes-operator-1.0.0,,,,,,,,,,,,,,kubernetes-operator-1.0.0,,,,Kubernetes Operator,Project Website,,,,0,pull-request-available,,,,"Link [K8S Operator RoadMap|https://nightlies.apache.org/flink/flink-kubernetes-operator-docs-main/docs/development/roadmap/] To [Flink RoadMap|https://flink.apache.org/roadmap.html] WebSite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu Jun 23 10:56:11 UTC 2022,,,,,,,,,,"0|z130ug:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"07/Jun/22 14:17;ConradJam;Hi [~gyfora] , I want to try this ticket , can you assign to me this issuse and build k8s operator roadmap page?;;;","23/Jun/22 09:14;martijnvisser;Fixed in asf-site: 1ea65037b09ebc653c212921b45b9c8a5c3cf66c;;;","23/Jun/22 10:56;martijnvisser;Thnx for correcting the fixversion [~gyfora];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[JUnit5 Migration] Module: flink-connector-rabbitmq,FLINK-27942,13448809,13417682,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,Sergey Nuyanzin,alexanderpreuss,alexanderpreuss,07/Jun/22 13:41,05/Oct/22 12:23,04/Jun/24 20:51,05/Oct/22 12:23,1.16.0,,,,,,,,,,,,,,1.17.0,,,,Connectors/ RabbitMQ,,,,,0,pull-request-available,stale-assigned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Oct 05 12:23:17 UTC 2022,,,,,,,,,,"0|z130rk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"08/Jun/22 12:24;Sergey Nuyanzin;Hi [~alexanderpreuss] 
Do you mind if I pick this or are you going to implement it?;;;","08/Jun/22 12:59;alexanderpreuss;Hi [~Sergey Nuyanzin], feel free to assign yourself on any of these :);;;","09/Jul/22 22:38;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;","05/Oct/22 12:23;mapohl;master: d191bda7e63a2c12416cba56090e5cd75426079b;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
[JUnit5 Migration] Module: flink-connector-kinesis,FLINK-27941,13448808,13417682,Sub-task,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,chalixar,alexanderpreuss,alexanderpreuss,07/Jun/22 13:41,09/Jan/23 10:13,04/Jun/24 20:51,,1.16.0,,,,,,,,,,,,,,,,,,Connectors / Kinesis,,,,,0,pull-request-available,stale-assigned,starter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Jan 09 10:12:47 UTC 2023,,,,,,,,,,"0|z130rc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"01/Aug/22 22:38;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;","07/Oct/22 07:48;mapohl;The corresponding PR seems to be stalled for some time with open review comments. I'm going to leave this issue assigned for a bit to wait for some response from [~Jun He].;;;","09/Jan/23 09:14;chalixar;[~mapohl] 

Given the connectors being moved now to [https://github.com/apache/flink-connector-aws] and that the PR seems to have been stalled for long time, would it make sense to reassign the ticket.

Please let me know if we can move this forward, happy to take it then.;;;","09/Jan/23 10:12;mapohl;Thanks for offering your help. I can assign the issue to you since there was no response since October on that one. (y) Feel free to create a PR against [apache:flink-connector-aws|https://github.com/apache/flink-connector-aws];;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
[JUnit5 Migration] Module: flink-connector-jdbc,FLINK-27940,13448807,13417682,Sub-task,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Done,eskabetxe,alexanderpreuss,alexanderpreuss,07/Jun/22 13:40,23/Dec/22 14:12,04/Jun/24 20:51,23/Dec/22 03:10,1.16.0,,,,,,,,,,,,,,jdbc-3.1.0,,,,Connectors / JDBC,,,,,0,pull-request-available,starter,,,,,,,,,,,,,,,FLINK-29541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Fri Dec 23 14:12:34 UTC 2022,,,,,,,,,,"0|z130r4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"11/Jun/22 14:44;wanglijie;Hi [~alexanderpreuss], if you don't mind, I'd like to take on this.;;;","11/Jun/22 22:38;jingge;[~wanglijie95] just assigned this task to you. Thanks for your contribution!;;;","12/Jun/22 03:49;wanglijie;thanks, [~jingge] :);;;","07/Oct/22 07:44;mapohl;[~wanglijie] any update on the progress on this ticket? I couldn't find any PR being connected to this Jira issue.;;;","08/Oct/22 02:47;wanglijie;[~mapohl]  It was blocked by the migration of {{JdbcTablePlanTest}}, because it extends {{TableTestBase}} in {{flink-table-planner}} module. So the {{TableTestBase}} needs to be migrated first, then I'll continue this work.;;;","27/Oct/22 12:56;rskraba;I've run into this situation in other modules.  My recommendation is to leave those tests that depend on a large hierarchy of abstract {{XxxxTestBase}} classes for now, and migrate everything else -- a lot of these widely reused tests should probably be migrated together in a group and probably shouldn't block your work here!

;;;","28/Oct/22 06:14;wanglijie;[~rskraba] good idea, I will do so :);;;","23/Dec/22 03:09;wanglijie;Done via 5ec38735e5ac2b12620e91ce4977b805fb04c5b8 (https://github.com/apache/flink-connector-jdbc);;;","23/Dec/22 11:20;mapohl;[~wanglijie] keep in mind that we have dedicated fixVersions for the externalized connectors. I changed {{1.17.0}} to {{jdbc-3.1.0}}. Please correct me if I misinterpreted the situation.;;;","23/Dec/22 14:12;wanglijie;[~mapohl] You are right, thanks for the correction :);;;",,,,,,,,,,,,,,,,,,,,,,
[JUnit5 Migration] Module: flink-connector-hive,FLINK-27939,13448806,13417682,Sub-task,In Progress,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,,hk__lrzy,alexanderpreuss,alexanderpreuss,07/Jun/22 13:39,17/Aug/23 10:35,04/Jun/24 20:51,,1.16.0,,,,,,,,,,,,,,,,,,Connectors / Hive,,,,,0,stale-assigned,starter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Thu Aug 17 10:35:14 UTC 2023,,,,,,,,,,"0|z130qw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"07/Oct/22 07:43;mapohl;[~catyee] thanks for working on this topic. I'm wondering what the state is. I couldn't find any PR being related to that one.;;;","16/Feb/23 11:50;hk__lrzy;[~mapohl]  I can work on this jira for migrate `hive-connector` to junit 5, plz assign it to me if Yuan Kui have no reply. thanks.;;;","16/Feb/23 12:16;mapohl;Thanks, [~hk__lrzy]. I assigned the ticket to you because there was no response from [~catyee] in the meantime.;;;","26/Feb/23 07:39;luoyuxia;[~hk__lrzy] Hi, is there any progress for this jira? Personally, I hope we can migrate it to junit5 in release 1.18;;;","17/Aug/23 10:35;flink-jira-bot;I am the [Flink Jira Bot|https://github.com/apache/flink-jira-bot/] and I help the community manage its development. I see this issue is assigned but has not received an update in 30 days, so it has been labeled ""stale-assigned"".
If you are still working on the issue, please remove the label and add a comment updating the community on your progress.  If this issue is waiting on feedback, please consider this a reminder to the committer/reviewer. Flink is a very active project, and so we appreciate your patience.
If you are no longer working on the issue, please unassign yourself so someone else may work on it.
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
[JUnit5 Migration] Module: flink-connector-hbase-base,FLINK-27938,13448805,13417682,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,snuyanzin,alexanderpreuss,alexanderpreuss,07/Jun/22 13:39,05/Oct/22 12:30,04/Jun/24 20:51,05/Oct/22 12:30,1.16.0,,,,,,,,,,,,,,1.17.0,,,,Connectors / HBase,,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Wed Oct 05 12:30:50 UTC 2022,,,,,,,,,,"0|z130qo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"05/Oct/22 12:30;mapohl;master: adc476a0df2355226df19c37c0834ee0d9c19023;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[JUnit5 Migration] Module: flink-connector-gcp-pubsub,FLINK-27937,13448804,13417682,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,Sergey Nuyanzin,alexanderpreuss,alexanderpreuss,07/Jun/22 13:38,12/Sep/22 12:27,04/Jun/24 20:51,12/Sep/22 12:27,1.16.0,,,,,,,,,,,,,,1.17.0,,,,Connectors / Google Cloud PubSub,,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Sep 12 12:27:40 UTC 2022,,,,,,,,,,"0|z130qg:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"12/Sep/22 12:27;mapohl;master: ea3ff8e4f518c1c8a8ad8d142eb7a04b0644db15;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[JUnit5 Migration] Module: flink-connector-cassandra,FLINK-27936,13448802,13417682,Sub-task,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,Sergey Nuyanzin,alexanderpreuss,alexanderpreuss,07/Jun/22 13:36,12/Sep/22 12:30,04/Jun/24 20:51,12/Sep/22 12:30,1.16.0,,,,,,,,,,,,,,1.17.0,,,,Connectors / Cassandra,,,,,0,pull-request-available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Mon Sep 12 12:30:39 UTC 2022,,,,,,,,,,"0|z130q0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"12/Sep/22 12:30;mapohl;master: a4841408aa90b8530ba00cf8017f81de204dd744;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Pyflink example of create temporary view document,FLINK-27935,13448770,,Improvement,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Minor,Fixed,pemide,pemide,pemide,07/Jun/22 10:43,10/Jun/22 11:00,04/Jun/24 20:51,10/Jun/22 11:00,1.15.0,,,,,,,,,,,,,,1.15.1,1.16.0,,,API / Python,Documentation,,,,0,pull-request-available,,,,"Doc url: [https://nightlies.apache.org/flink/flink-docs-master/docs/dev/table/common/]

Doc part: Expanding Table identifiers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,Fri Jun 10 11:00:02 UTC 2022,,,,,,,,,,"0|z130iw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"07/Jun/22 10:56;pemide;[~dianfu] This Doc urls missing the part of Expanding Table identifiers in Pyflink example, Could i take this ticket and fix it?;;;","08/Jun/22 02:08;dianfu;[~pemide] Thanks. Have assigned it to you~;;;","10/Jun/22 11:00;dianfu;Merged to:
- master via e50e66fe9fd848cccada278936937614136d9911
- release-1.15 via 4b3121c81d538dcdd380183e1efe439a8e9f737c;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
